material_class,candidate_id,temperature_K,autonomous_v913_available,native_pf_canonical_row_available_in_1d,comparison_status,discrepancy_class
Peak,v913_zeroD_sobol_0242980,300,True,False,INTENDED_MODEL_DIFFERENCE_NOT_COMPARABLE,FORMULA_STATE_LOAD_EVENT_LIFECYCLE_DIFFERENCE
Peak,v913_zeroD_sobol_0242980,600,True,False,INTENDED_MODEL_DIFFERENCE_NOT_COMPARABLE,FORMULA_STATE_LOAD_EVENT_LIFECYCLE_DIFFERENCE
Peak,v913_zeroD_sobol_0242980,900,True,False,INTENDED_MODEL_DIFFERENCE_NOT_COMPARABLE,FORMULA_STATE_LOAD_EVENT_LIFECYCLE_DIFFERENCE
Peak,v913_zeroD_sobol_0242980,1100,True,False,INTENDED_MODEL_DIFFERENCE_NOT_COMPARABLE,FORMULA_STATE_LOAD_EVENT_LIFECYCLE_DIFFERENCE
Peak,v913_zeroD_sobol_0242980,1200,True,False,INTENDED_MODEL_DIFFERENCE_NOT_COMPARABLE,FORMULA_STATE_LOAD_EVENT_LIFECYCLE_DIFFERENCE
DBTT,v913_zeroD_sobol_0202500,300,True,False,INTENDED_MODEL_DIFFERENCE_NOT_COMPARABLE,FORMULA_STATE_LOAD_EVENT_LIFECYCLE_DIFFERENCE
DBTT,v913_zeroD_sobol_0202500,600,True,False,INTENDED_MODEL_DIFFERENCE_NOT_COMPARABLE,FORMULA_STATE_LOAD_EVENT_LIFECYCLE_DIFFERENCE
DBTT,v913_zeroD_sobol_0202500,900,True,False,INTENDED_MODEL_DIFFERENCE_NOT_COMPARABLE,FORMULA_STATE_LOAD_EVENT_LIFECYCLE_DIFFERENCE
DBTT,v913_zeroD_sobol_0202500,1100,True,False,INTENDED_MODEL_DIFFERENCE_NOT_COMPARABLE,FORMULA_STATE_LOAD_EVENT_LIFECYCLE_DIFFERENCE
DBTT,v913_zeroD_sobol_0202500,1200,True,False,INTENDED_MODEL_DIFFERENCE_NOT_COMPARABLE,FORMULA_STATE_LOAD_EVENT_LIFECYCLE_DIFFERENCE
weak-T,v913_zeroD_sobol_0129902,300,True,False,INTENDED_MODEL_DIFFERENCE_NOT_COMPARABLE,FORMULA_STATE_LOAD_EVENT_LIFECYCLE_DIFFERENCE
weak-T,v913_zeroD_sobol_0129902,600,True,False,INTENDED_MODEL_DIFFERENCE_NOT_COMPARABLE,FORMULA_STATE_LOAD_EVENT_LIFECYCLE_DIFFERENCE
weak-T,v913_zeroD_sobol_0129902,900,True,False,INTENDED_MODEL_DIFFERENCE_NOT_COMPARABLE,FORMULA_STATE_LOAD_EVENT_LIFECYCLE_DIFFERENCE
weak-T,v913_zeroD_sobol_0129902,1100,True,False,INTENDED_MODEL_DIFFERENCE_NOT_COMPARABLE,FORMULA_STATE_LOAD_EVENT_LIFECYCLE_DIFFERENCE
weak-T,v913_zeroD_sobol_0129902,1200,True,False,INTENDED_MODEL_DIFFERENCE_NOT_COMPARABLE,FORMULA_STATE_LOAD_EVENT_LIFECYCLE_DIFFERENCE
ceramic-like,v913_zeroD_sobol_0077080,300,True,False,INTENDED_MODEL_DIFFERENCE_NOT_COMPARABLE,FORMULA_STATE_LOAD_EVENT_LIFECYCLE_DIFFERENCE
ceramic-like,v913_zeroD_sobol_0077080,600,True,False,INTENDED_MODEL_DIFFERENCE_NOT_COMPARABLE,FORMULA_STATE_LOAD_EVENT_LIFECYCLE_DIFFERENCE
ceramic-like,v913_zeroD_sobol_0077080,900,True,False,INTENDED_MODEL_DIFFERENCE_NOT_COMPARABLE,FORMULA_STATE_LOAD_EVENT_LIFECYCLE_DIFFERENCE
ceramic-like,v913_zeroD_sobol_0077080,1100,True,False,INTENDED_MODEL_DIFFERENCE_NOT_COMPARABLE,FORMULA_STATE_LOAD_EVENT_LIFECYCLE_DIFFERENCE
ceramic-like,v913_zeroD_sobol_0077080,1200,True,False,INTENDED_MODEL_DIFFERENCE_NOT_COMPARABLE,FORMULA_STATE_LOAD_EVENT_LIFECYCLE_DIFFERENCE
