implementation,material_class,candidate_id,temperature_K,initial_onset_native_K_MPa_sqrt_m,legacy_eventwise_endpoint_K_MPa_sqrt_m,event_transaction_count,physical_avalanche_count,physical_avalanche_status,onset_candidate_count,precursor_reinitiation_count,largest_avalanche_extension_um,largest_avalanche_fraction,right_censored,target_extension_um,achieved_extension_um,in_avalanche_drive_min_MPa_sqrt_m,in_avalanche_drive_max_MPa_sqrt_m
AUTONOMOUS_V913_ONE_D_DRIVER,ceramic-like,v913_zeroD_sobol_0077080,1100.0,10.002558949421287,12.662147973086995,22,3,CLASSIFIED,3,2,88.86459162596763,0.8245053809680397,True,99.99999999999999,107.77927431065764,10.454889716993303,14.12307694387787
AUTONOMOUS_V913_ONE_D_DRIVER,ceramic-like,v913_zeroD_sobol_0077080,1200.0,9.319295817674286,11.770927980764098,22,3,CLASSIFIED,3,2,88.86459162596763,0.8245053809680397,True,99.99999999999999,107.77927431065764,9.73933182668625,13.129112075392944
AUTONOMOUS_V913_ONE_D_DRIVER,ceramic-like,v913_zeroD_sobol_0077080,300.0,13.679946983193243,17.184320414709234,22,6,CLASSIFIED,6,5,60.31288080495358,0.559596278511866,True,99.99999999999999,107.77927431065764,14.304334749563889,19.170120950054077
AUTONOMOUS_V913_ONE_D_DRIVER,ceramic-like,v913_zeroD_sobol_0077080,600.0,13.055506471194986,16.3820532712625,22,6,CLASSIFIED,6,5,60.31288080495358,0.559596278511866,True,99.99999999999999,107.77927431065764,13.639371350248304,18.27620183910196
AUTONOMOUS_V913_ONE_D_DRIVER,ceramic-like,v913_zeroD_sobol_0077080,900.0,11.321077861818653,14.215222936265478,22,6,CLASSIFIED,6,5,60.31288080495358,0.559596278511866,True,99.99999999999999,107.77927431065764,11.833390988517078,15.85899546343574
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1100.0,13.345479504002892,19.98090812309182,22,6,CLASSIFIED,6,5,88.86459162596763,0.8245053809680397,True,99.99999999999999,107.77927431065764,16.820340937551023,22.29585117940395
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,1200.0,13.300094642379278,19.918468395974052,22,6,CLASSIFIED,6,5,88.86459162596763,0.8245053809680397,True,99.99999999999999,107.77927431065764,16.767777681019332,22.226177053074636
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,300.0,13.002641820847582,18.588828359028938,22,6,CLASSIFIED,6,5,88.86459162596763,0.8245053809680397,True,99.99999999999999,107.77927431065764,15.64844379122096,20.74246732745507
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,600.0,13.427584613127774,19.886285133324833,22,6,CLASSIFIED,6,5,88.86459162596763,0.8245053809680397,True,99.99999999999999,107.77927431065764,16.740684807267403,22.19026465714737
AUTONOMOUS_V913_ONE_D_DRIVER,weak-T,v913_zeroD_sobol_0129902,900.0,13.416289278069469,20.051198069456603,22,6,CLASSIFIED,6,5,88.86459162596763,0.8245053809680397,True,99.99999999999999,107.77927431065764,16.879512666891333,22.374285028353885
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1100.0,21.78083345717047,48.85347886755669,22,6,CLASSIFIED,6,5,88.86459162596763,0.8245053809680397,True,99.99999999999999,107.77927431065764,41.125875318020924,54.51354409572279
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,1200.0,21.37303540276563,47.333270896725004,22,6,CLASSIFIED,6,5,88.86459162596763,0.8245053809680397,True,99.99999999999999,107.77927431065764,39.84613258776733,52.8172078772037
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,300.0,23.50376014174811,29.31333578939867,22,2,CLASSIFIED,2,1,105.34570461938699,0.977420800920813,True,99.99999999999999,107.77927431065764,24.42623279828875,32.70925733526248
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,600.0,23.289967582690362,29.032573143887635,22,2,CLASSIFIED,2,1,105.34570461938699,0.977420800920813,True,99.99999999999999,107.77927431065764,24.19290421406582,32.39609924001965
AUTONOMOUS_V913_ONE_D_DRIVER,DBTT,v913_zeroD_sobol_0202500,900.0,22.304088740041664,27.80020585136775,22,2,CLASSIFIED,2,1,105.34570461938699,0.977420800920813,True,99.99999999999999,107.77927431065764,23.166090577531627,31.020981056079368
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,1100.0,20.578428453538006,42.46061719847616,22,3,CLASSIFIED,3,2,88.86459162596763,0.8245053809680397,True,99.99999999999999,107.77927431065764,21.9489536506764,47.380018290493155
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,1200.0,20.19010108160125,41.69134015632337,22,3,CLASSIFIED,3,2,88.86459162596763,0.8245053809680397,True,99.99999999999999,107.77927431065764,21.512601342590628,46.521614352533874
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,300.0,23.673325088652895,29.585844032521365,22,6,CLASSIFIED,6,5,60.31288080495358,0.559596278511866,True,99.99999999999999,107.77927431065764,24.648343585877292,33.01199389035499
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,600.0,22.35882690889712,27.939377633832613,22,6,CLASSIFIED,6,5,60.31288080495358,0.559596278511866,True,99.99999999999999,107.77927431065764,23.276702865700663,31.17486072252179
AUTONOMOUS_V913_ONE_D_DRIVER,Peak,v913_zeroD_sobol_0242980,900.0,21.3645678986251,26.827405908432535,22,2,CLASSIFIED,2,1,105.34570461938699,0.977420800920813,True,99.99999999999999,107.77927431065764,22.35407709048815,29.935181585764216
