material_class,candidate_id,temperature_K,original_legacy_endpoint_K_MPa_sqrt_m,reproduced_legacy_endpoint_K_MPa_sqrt_m,difference_MPa_sqrt_m,reproduction_status
ceramic-like,v913_zeroD_sobol_0077080,1100.0,12.662147973086997,12.662147973086995,-1.7763568394002505e-15,MATCHED_WITHIN_FLOAT_SERIALIZATION
ceramic-like,v913_zeroD_sobol_0077080,1200.0,11.770927980764098,11.770927980764098,0.0,BITWISE_FLOAT_EQUAL
ceramic-like,v913_zeroD_sobol_0077080,300.0,17.184320414709234,17.184320414709234,0.0,BITWISE_FLOAT_EQUAL
ceramic-like,v913_zeroD_sobol_0077080,600.0,16.3820532712625,16.3820532712625,0.0,BITWISE_FLOAT_EQUAL
ceramic-like,v913_zeroD_sobol_0077080,900.0,14.215222936265478,14.215222936265478,0.0,BITWISE_FLOAT_EQUAL
weak-T,v913_zeroD_sobol_0129902,1100.0,19.98090812309182,19.98090812309182,0.0,BITWISE_FLOAT_EQUAL
weak-T,v913_zeroD_sobol_0129902,1200.0,19.918468395974052,19.918468395974052,0.0,BITWISE_FLOAT_EQUAL
weak-T,v913_zeroD_sobol_0129902,300.0,18.588828359028938,18.588828359028938,0.0,BITWISE_FLOAT_EQUAL
weak-T,v913_zeroD_sobol_0129902,600.0,19.886285133324833,19.886285133324833,0.0,BITWISE_FLOAT_EQUAL
weak-T,v913_zeroD_sobol_0129902,900.0,20.051198069456603,20.051198069456603,0.0,BITWISE_FLOAT_EQUAL
DBTT,v913_zeroD_sobol_0202500,1100.0,,48.85347886755669,,NO_ARCHIVED_MATCHED_PROTOCOL
DBTT,v913_zeroD_sobol_0202500,1200.0,,47.333270896725004,,NO_ARCHIVED_MATCHED_PROTOCOL
DBTT,v913_zeroD_sobol_0202500,300.0,,29.31333578939867,,NO_ARCHIVED_MATCHED_PROTOCOL
DBTT,v913_zeroD_sobol_0202500,600.0,,29.032573143887635,,NO_ARCHIVED_MATCHED_PROTOCOL
DBTT,v913_zeroD_sobol_0202500,900.0,,27.80020585136775,,NO_ARCHIVED_MATCHED_PROTOCOL
Peak,v913_zeroD_sobol_0242980,1100.0,,42.46061719847616,,NO_ARCHIVED_MATCHED_PROTOCOL
Peak,v913_zeroD_sobol_0242980,1200.0,,41.69134015632337,,NO_ARCHIVED_MATCHED_PROTOCOL
Peak,v913_zeroD_sobol_0242980,300.0,,29.585844032521365,,NO_ARCHIVED_MATCHED_PROTOCOL
Peak,v913_zeroD_sobol_0242980,600.0,,27.939377633832613,,NO_ARCHIVED_MATCHED_PROTOCOL
Peak,v913_zeroD_sobol_0242980,900.0,,26.827405908432535,,NO_ARCHIVED_MATCHED_PROTOCOL
