actual_extension_um,quantity,max_linear_opening_error,sign_mismatch_count,validation_kind,observed,predicted,absolute_error,relative_error,primary_classification,wake_topology_transition,front_direction_transition,probe_element_selection_transition,probe_weight_transition,reliability_transition,left_regime_key,target_regime_key,right_regime_key,provider_action
100.0,opening_sigma_xx_Pa,,1,LEAVE_ONE_NODE_OUT,-2456948.010553813,170158671.8175474,172615619.82810122,70.25611412477241,NEAR_ZERO_COMPONENT_SIGN_ARTIFACT,True,True,True,True,False,8d1474b59e8ddcd7d1f3e2f18af5ae0e363168e233e15cb133aa5d71aa99b12a,f26c0b79048ec17e829b8ec9848062ba92be403ee65a83077e43c1b35459c1f2,42afa015f38af0688c72d38d48f0060ba0980df0b4d7a58b2bd6dd090ac290b0,HARD_FAIL_OR_EXACT_DETERMINISTIC_QUERY
150.0,opening_sigma_xx_Pa,,1,LEAVE_ONE_NODE_OUT,26720817.718476232,-2204492.720682536,28925310.439158767,1.0825009452894934,FRONT_DIRECTION_TRANSITION,True,True,True,True,False,f26c0b79048ec17e829b8ec9848062ba92be403ee65a83077e43c1b35459c1f2,42afa015f38af0688c72d38d48f0060ba0980df0b4d7a58b2bd6dd090ac290b0,34cc55fcbc664b2a56d5f2f34db4b4eb16743d6a8c963b0f7cb67eed7359ebd3,HARD_FAIL_OR_EXACT_DETERMINISTIC_QUERY
200.0,opening_sigma_xx_Pa,,1,LEAVE_ONE_NODE_OUT,-1952037.430811258,124728092.49872488,126680129.92953612,64.89636311783654,NEAR_ZERO_COMPONENT_SIGN_ARTIFACT,True,True,True,True,False,42afa015f38af0688c72d38d48f0060ba0980df0b4d7a58b2bd6dd090ac290b0,34cc55fcbc664b2a56d5f2f34db4b4eb16743d6a8c963b0f7cb67eed7359ebd3,92b2839f59be4bea7f2b12a71b77e48065319c8fde59cc1d6597371e5ea52e3b,HARD_FAIL_OR_EXACT_DETERMINISTIC_QUERY
50.0,opening_sigma_xy_Pa,,1,LEAVE_ONE_NODE_OUT,-3069498.915029871,16682596.705864709,19752095.62089458,6.434957681261263,NEAR_ZERO_COMPONENT_SIGN_ARTIFACT,True,True,True,True,False,c5ca2b22d783d5ebae77a85ecbbf6aca43fe9bdbb14b8cb36461f202b97e8ab9,c705c8676b3db7dc2be2edb7c264ffb22cefaf067e535345480cbbb440310845,8d1474b59e8ddcd7d1f3e2f18af5ae0e363168e233e15cb133aa5d71aa99b12a,HARD_FAIL_OR_EXACT_DETERMINISTIC_QUERY
150.0,opening_sigma_xy_Pa,,1,LEAVE_ONE_NODE_OUT,-857416.0802443686,88246326.64020124,89103742.7204456,103.92124054292348,NEAR_ZERO_COMPONENT_SIGN_ARTIFACT,True,True,True,True,False,f26c0b79048ec17e829b8ec9848062ba92be403ee65a83077e43c1b35459c1f2,42afa015f38af0688c72d38d48f0060ba0980df0b4d7a58b2bd6dd090ac290b0,34cc55fcbc664b2a56d5f2f34db4b4eb16743d6a8c963b0f7cb67eed7359ebd3,HARD_FAIL_OR_EXACT_DETERMINISTIC_QUERY
400.0,opening_sigma_xy_Pa,,1,LEAVE_ONE_NODE_OUT,-72174399.35592839,10855146.17811176,83029545.53404015,1.150401614353305,PROBE_ELEMENT_SELECTION_TRANSITION,True,False,True,True,False,92b2839f59be4bea7f2b12a71b77e48065319c8fde59cc1d6597371e5ea52e3b,c6ea250a3f1ce54841da5f68d8a98c9561f62bda5d22763fa3e9374815523114,832160f091481ebf2719cd6ead4dd61b1dfd3fcb57978670434d502eb7ae5af4,HARD_FAIL_OR_EXACT_DETERMINISTIC_QUERY
600.0,opening_sigma_xy_Pa,,1,LEAVE_ONE_NODE_OUT,50626174.61987062,-69729285.91298962,120355460.53286023,2.377336653155324,PROBE_ELEMENT_SELECTION_TRANSITION,True,False,True,True,False,832160f091481ebf2719cd6ead4dd61b1dfd3fcb57978670434d502eb7ae5af4,f95c70f0dd1b3dc567127d4f1ed44aa4a3ab7a2dc1ef423d4891359a756d70cd,8d995cde02a6bff9eea8c377702327c9daa72b87c6a0f57789a7ca6b849482c6,HARD_FAIL_OR_EXACT_DETERMINISTIC_QUERY
700.0,opening_sigma_xy_Pa,,1,LEAVE_ONE_NODE_OUT,-103587161.2366209,67689804.48935707,171276965.72597796,1.6534574717684885,PROBE_ELEMENT_SELECTION_TRANSITION,True,False,True,True,False,f95c70f0dd1b3dc567127d4f1ed44aa4a3ab7a2dc1ef423d4891359a756d70cd,8d995cde02a6bff9eea8c377702327c9daa72b87c6a0f57789a7ca6b849482c6,34bb6d13861e4407c7bcc6098825a5d087478b5381d5fa181f2a5f0100df51e4,HARD_FAIL_OR_EXACT_DETERMINISTIC_QUERY
800.0,opening_sigma_xy_Pa,,1,LEAVE_ONE_NODE_OUT,84753434.3588435,-9259565.816758338,94013000.17560184,1.1092529864636944,PROBE_ELEMENT_SELECTION_TRANSITION,True,False,True,True,False,8d995cde02a6bff9eea8c377702327c9daa72b87c6a0f57789a7ca6b849482c6,34bb6d13861e4407c7bcc6098825a5d087478b5381d5fa181f2a5f0100df51e4,c42810bddf682b19a7e23b1379d2f3cbb4fad711f28248306ab50b025434b789,HARD_FAIL_OR_EXACT_DETERMINISTIC_QUERY
150.0,channel0_sigma_xx_Pa,,1,LEAVE_ONE_NODE_OUT,-92837358.72649974,74009552.24753436,166846910.9740341,1.7971957977129405,FRONT_DIRECTION_TRANSITION,True,True,True,True,False,f26c0b79048ec17e829b8ec9848062ba92be403ee65a83077e43c1b35459c1f2,42afa015f38af0688c72d38d48f0060ba0980df0b4d7a58b2bd6dd090ac290b0,34cc55fcbc664b2a56d5f2f34db4b4eb16743d6a8c963b0f7cb67eed7359ebd3,HARD_FAIL_OR_EXACT_DETERMINISTIC_QUERY
100.0,channel0_sigma_xy_Pa,,1,LEAVE_ONE_NODE_OUT,127917113.84902067,-106758103.931394,234675217.7804147,1.8345881228793168,FRONT_DIRECTION_TRANSITION,True,True,True,True,False,8d1474b59e8ddcd7d1f3e2f18af5ae0e363168e233e15cb133aa5d71aa99b12a,f26c0b79048ec17e829b8ec9848062ba92be403ee65a83077e43c1b35459c1f2,42afa015f38af0688c72d38d48f0060ba0980df0b4d7a58b2bd6dd090ac290b0,HARD_FAIL_OR_EXACT_DETERMINISTIC_QUERY
200.0,channel0_sigma_xy_Pa,,1,LEAVE_ONE_NODE_OUT,-77292202.23095705,17598812.65124853,94891014.88220558,1.227691955246164,FRONT_DIRECTION_TRANSITION,True,True,True,True,False,42afa015f38af0688c72d38d48f0060ba0980df0b4d7a58b2bd6dd090ac290b0,34cc55fcbc664b2a56d5f2f34db4b4eb16743d6a8c963b0f7cb67eed7359ebd3,92b2839f59be4bea7f2b12a71b77e48065319c8fde59cc1d6597371e5ea52e3b,HARD_FAIL_OR_EXACT_DETERMINISTIC_QUERY
400.0,channel0_sigma_xy_Pa,,1,LEAVE_ONE_NODE_OUT,2769142.677254756,-73300809.7479138,76069952.42516854,27.470578908769696,NEAR_ZERO_COMPONENT_SIGN_ARTIFACT,True,False,True,True,False,92b2839f59be4bea7f2b12a71b77e48065319c8fde59cc1d6597371e5ea52e3b,c6ea250a3f1ce54841da5f68d8a98c9561f62bda5d22763fa3e9374815523114,832160f091481ebf2719cd6ead4dd61b1dfd3fcb57978670434d502eb7ae5af4,HARD_FAIL_OR_EXACT_DETERMINISTIC_QUERY
