target_extension_um,actual_extension_um,tip_x_m,tip_y_m,reference_opening_m,reaction_N_per_m,compliance_m2_per_N,elastic_energy_J_per_m,F_over_U_N_per_m2,assembled_residual_reaction_N_per_m,energy_derivative_reaction_N_per_m,reaction_residual_relative_error,reaction_energy_relative_error,mesh_fingerprint,crack_topology_fingerprint,domain_radii_um,opening_scaling_F_ratio_error,opening_scaling_W_ratio_error,opening_scaling_J_ratio_error,opening_scaling_G_ratio_error,native_J_aggregate_J_per_m2,native_KJ_aggregate_MPa_sqrt_m,J_native_over_U2,KJ_native_over_U,native_J_domain_values_JSON,J_domain_spread_J_per_m2,J_status
0,0,0.0005,0.0,1.25e-05,2479171.2818161803,5.042007420658248e-12,15.494820511330726,198333702545.2944,2479171.2818161803,2479171.281812916,0.0,1.3166841871594754e-12,74607727ef4ce46cabfea5045126d1dcc8240c0600ec37d0721416119ddf6948,67224153028a88973ed5aa1ba03009fb351b1fe1f4155de0feb3f80fa287da99,"[30, 50, 75, 100, 150, 200]",0.0,0.0,0.0,0.0,7340.210014630293,57.14456594549459,46977344093633.875,4571565.2756395675,"{""100"": 7339.5469903824105, ""150"": 7337.406696608303, ""200"": 7335.709517785916, ""30"": 7344.182092545762, ""50"": 7342.498387718486, ""75"": 7340.873038878176}",8.472574759845884,CONSISTENT_WITH_G_WITH_RESIDUAL_DOMAIN_SPREAD
2,2,0.0005020000000000001,0.0,1.25e-05,2476836.1306802183,5.046761004962852e-12,15.480225816732943,198146890454.41745,2476836.1306802183,2476836.1306772707,0.0,1.190081133001106e-12,20d2b68e65453d9753445c49a504d3fff7ee4432f681930f8fbed36115b430e8,8300736d5aac480b06f5a79435c744cea06c857e12ce467e5d928471328404b7,"[30, 50, 75, 100, 150, 200]",,,,,7359.504730490269,57.219622690233884,47100830275137.72,4577569.81521871,"{""100"": 7358.840342963283, ""150"": 7356.695008151163, ""200"": 7354.992806285814, ""30"": 7363.485166214717, ""50"": 7361.797754829295, ""75"": 7360.169118017255}",8.49235992890226,CONSISTENT_WITH_G_WITH_RESIDUAL_DOMAIN_SPREAD
5,5,0.000505,0.0,1.25e-05,2471340.8316566413,5.057983034910137e-12,15.445880197834725,197707266532.5313,2471340.8316566413,2471340.831653556,0.0,1.2485010768962863e-12,356baf63cd9bed2f15c08c0b973ab76ac960ee935e24c0dd04bddf1556cfc5dd,9e5fb0d56f39a8396277575818a635b003f449c8c1f4827dc5c4a7274be8207d,"[30, 50, 75, 100, 150, 200]",,,,,7379.261358037103,57.29637439744357,47227272691437.45,4583709.951795486,"{""100"": 7378.59612521251, ""150"": 7376.447354124041, ""200"": 7374.741009552678, ""30"": 7383.24785242065, ""50"": 7381.557425089994, ""75"": 7379.926590861695}",8.5068428679715,CONSISTENT_WITH_G_WITH_RESIDUAL_DOMAIN_SPREAD
10,10,0.00051,0.0,1.25e-05,2466336.049801666,5.068246884282135e-12,15.414600311236873,197306883984.13327,2466336.049801666,2466336.0497978996,0.0,1.5270702838925236e-12,f2400eafe2cbee237fb26be5b89304a6c67e009f3d93be441ff2fcef6162069e,0a7be7d348f1ae6b75860e1f425a4bc4def90149a83a2e486f9312ea7de5c075,"[30, 50, 75, 100, 150, 200]",,,,,7430.355344685069,57.4943921944716,47554274205984.445,4599551.375557728,"{""100"": 7429.686435642281, ""150"": 7427.524537474077, ""200"": 7425.805663254076, ""30"": 7434.36451396353, ""50"": 7432.664058600243, ""75"": 7431.024253727856}",8.558850709454418,CONSISTENT_WITH_G_WITH_RESIDUAL_DOMAIN_SPREAD
25,25,0.000525,0.0,1.25e-05,2448879.80476657,5.104374651491527e-12,15.305498779766891,195910384381.32562,2448879.80476657,2448879.8047627024,0.0,1.5794089382621878e-12,e9771adc7f5c21d019fd44282e239a268d68463a47d78b72ce93006968939710,81991ee60535387b21fdaf7ae7849931b2a0120f5e85acaf03710c2c8feb02fc,"[30, 50, 75, 100, 150, 200]",,,,,7569.980065671946,58.03207015408646,48447872420300.45,4642565.612326916,"{""100"": 7569.301623012154, ""150"": 7567.105265010571, ""200"": 7565.352654950411, ""30"": 7574.048774420788, ""50"": 7572.321689083925, ""75"": 7570.658508331739}",8.696119470376289,CONSISTENT_WITH_G_WITH_RESIDUAL_DOMAIN_SPREAD
50,50,0.00055,0.0,1.25e-05,2418849.2915963563,5.167746516257917e-12,15.11780807245151,193507943327.7085,2418849.2915963563,2418849.2915922413,0.0,1.701242326355398e-12,a21d69a7995016b551e6a36dd6f1de4dd5946c1625058a6babf6e28f1e98a1c1,e40a1207431d7b3ceaed76769d2c4196e274afdb445cc14b411fd259c8721340,"[30, 50, 75, 100, 150, 200]",,,,,7789.445705995195,58.86728042929359,49852452518369.24,4709382.434343487,"{""100"": 7788.752301555917, ""150"": 7786.501447707312, ""200"": 7784.694886350167, ""30"": 7793.607711761336, ""50"": 7791.838890594407, ""75"": 7790.139110434472}",8.912825411169251,CONSISTENT_WITH_G_WITH_RESIDUAL_DOMAIN_SPREAD
75,75,0.000575,0.0,1.25e-05,2386853.678449548,5.237019811000626e-12,14.917835490283881,190948294275.9638,2386853.678449548,2386853.6784454207,0.0,1.7291198143697734e-12,d2d0788f312c287ffbdc8cb8cd4c6a89c35a6b01c1dfb84e25e9efa7790c1233,ac35f7e7448beec616b448f089e1fbcb64f8ad9fcdaaa603fd76fd763412fe67,"[30, 50, 75, 100, 150, 200]",,,,,7987.008526035873,59.609128081936426,51116854566629.586,4768730.246554914,"{""100"": 7986.302399285432, ""150"": 7984.005539266348, ""200"": 7982.153175266161, ""30"": 7991.2515498849325, ""50"": 7989.446010301482, ""75"": 7987.714652786313}",9.098374618771231,CONSISTENT_WITH_G_WITH_RESIDUAL_DOMAIN_SPREAD
100,100,0.0006000000000000001,0.0,1.25e-05,2355197.846859992,5.30740974337477e-12,14.71998654284892,188415827748.79935,2355197.846859992,2355197.846855827,0.0,1.7683756628909684e-12,3a661537ea7f502a305b716233efbb43eb35b07395654a1adf3e8c4a7893f822,2aedadf47d47f23233b522a9f94f621f5b0c05868e349f52930ac95ee216dd97,"[30, 50, 75, 100, 150, 200]",,,,,8175.220955138164,60.30737772943674,52321414112884.25,4824590.218354939,"{""100"": 8174.50243118147, ""150"": 8172.1606619380655, ""200"": 8170.263581462797, ""30"": 8179.542337289912, ""50"": 8177.701465750571, ""75"": 8175.939479094857}",9.278755827114765,CONSISTENT_WITH_G_WITH_RESIDUAL_DOMAIN_SPREAD
150,150,0.00065,0.0,1.25e-05,2288713.3369614207,5.4615839380721465e-12,14.304458355982504,183097066956.91364,2288713.3369614207,2288713.3369572004,0.0,1.8439566802512057e-12,24315555a1b2a86c8eec5944dfd83679a91e212e0b799b5a75d51a74ab8820f2,a043b98fae1b73eaeb5a2c7afff9ea1727857325a7c1d623dc18c970ea1b4758,"[30, 50, 75, 100, 150, 200]",,,,,8500.241519611776,61.494507565837026,54401545725515.37,4919560.605266962,"{""100"": 8499.50251617685, ""150"": 8497.08673639371, ""200"": 8495.11521166503, ""30"": 8504.694381130981, ""50"": 8502.793632290946, ""75"": 8500.980523046703}",9.579169465951054,CONSISTENT_WITH_G_WITH_RESIDUAL_DOMAIN_SPREAD
200,200,0.0007,0.0,1.25e-05,2219866.008807805,5.6309704956981685e-12,13.874162555019838,177589280704.6244,2219866.008807805,2219866.008803174,0.0,2.086162625987764e-12,ca464143f3e9d15d6750f7f033681f08316d969b8c3eac58c11f5bea7ef9fae3,c701b5d3b459f22f9432cc650e11f1ea6e8f64818729a462e363eab1d6a198fa,"[30, 50, 75, 100, 150, 200]",,,,,8768.271420049958,62.45650641351627,56116937088319.73,4996520.513081302,"{""100"": 8767.51601691066, ""150"": 8765.040737864269, ""200"": 8763.008386887379, ""30"": 8772.830516161896, ""50"": 8770.88107967935, ""75"": 8769.026823189255}",9.822129274516556,CONSISTENT_WITH_G_WITH_RESIDUAL_DOMAIN_SPREAD
