action_match,backend,candidate_id,closure_status,event_count_match,event_length_match,fired_match,fixture_engine,geometry_commits,interval_index,material_class,post_event_renewals,post_extension_m,pre_extension_m,process_zone_fingerprint_match,production_wrapper_exact,required_field_status,shared_core_source_rate_status,temperature_K,tip_radius_match,tip_stress_match
True,PF,v913_zeroD_sobol_0242980,SOURCE_OBJECT_SHADOW_EXACT_BUT_RATE_PARITY_UNAVAILABLE,True,True,True,UnifiedMPZFrontEngine,0,0,Peak,0,0.0,0.0,True,False,UNAVAILABLE,UNAVAILABLE_EXACT_BARRIER_RATE_COMPARISON_NOT_IMPLEMENTED,300.0,True,True
True,PF,v913_zeroD_sobol_0242980,SOURCE_OBJECT_SHADOW_EXACT_BUT_RATE_PARITY_UNAVAILABLE,True,True,True,UnifiedMPZFrontEngine,0,1,Peak,0,0.0,0.0,True,False,UNAVAILABLE,UNAVAILABLE_EXACT_BARRIER_RATE_COMPARISON_NOT_IMPLEMENTED,300.0,True,True
True,PF,v913_zeroD_sobol_0242980,SOURCE_OBJECT_SHADOW_EXACT_BUT_RATE_PARITY_UNAVAILABLE,True,True,True,UnifiedMPZFrontEngine,1,2,Peak,1,5e-06,0.0,True,False,UNAVAILABLE,UNAVAILABLE_EXACT_BARRIER_RATE_COMPARISON_NOT_IMPLEMENTED,300.0,True,True
True,PF,v913_zeroD_sobol_0242980,SOURCE_OBJECT_SHADOW_EXACT_BUT_RATE_PARITY_UNAVAILABLE,True,True,True,UnifiedMPZFrontEngine,0,3,Peak,0,5e-06,5e-06,True,False,UNAVAILABLE,UNAVAILABLE_EXACT_BARRIER_RATE_COMPARISON_NOT_IMPLEMENTED,300.0,True,True
True,PF,v913_zeroD_sobol_0242980,SOURCE_OBJECT_SHADOW_EXACT_BUT_RATE_PARITY_UNAVAILABLE,True,True,True,UnifiedMPZFrontEngine,1,4,Peak,1,1e-05,5e-06,True,False,UNAVAILABLE,UNAVAILABLE_EXACT_BARRIER_RATE_COMPARISON_NOT_IMPLEMENTED,300.0,True,True
True,PF,v913_zeroD_sobol_0242980,SOURCE_OBJECT_SHADOW_EXACT_BUT_RATE_PARITY_UNAVAILABLE,True,True,True,UnifiedMPZFrontEngine,1,5,Peak,1,1.5000000000000002e-05,1e-05,True,False,UNAVAILABLE,UNAVAILABLE_EXACT_BARRIER_RATE_COMPARISON_NOT_IMPLEMENTED,300.0,True,True
True,PF,v913_zeroD_sobol_0242980,SOURCE_OBJECT_SHADOW_EXACT_BUT_RATE_PARITY_UNAVAILABLE,True,True,True,UnifiedMPZFrontEngine,0,0,Peak,0,0.0,0.0,True,False,UNAVAILABLE,UNAVAILABLE_EXACT_BARRIER_RATE_COMPARISON_NOT_IMPLEMENTED,1000.0,True,True
True,PF,v913_zeroD_sobol_0242980,SOURCE_OBJECT_SHADOW_EXACT_BUT_RATE_PARITY_UNAVAILABLE,True,True,True,UnifiedMPZFrontEngine,0,1,Peak,0,0.0,0.0,True,False,UNAVAILABLE,UNAVAILABLE_EXACT_BARRIER_RATE_COMPARISON_NOT_IMPLEMENTED,1000.0,True,True
True,PF,v913_zeroD_sobol_0242980,SOURCE_OBJECT_SHADOW_EXACT_BUT_RATE_PARITY_UNAVAILABLE,True,True,True,UnifiedMPZFrontEngine,1,2,Peak,1,5e-06,0.0,True,False,UNAVAILABLE,UNAVAILABLE_EXACT_BARRIER_RATE_COMPARISON_NOT_IMPLEMENTED,1000.0,True,True
True,PF,v913_zeroD_sobol_0242980,SOURCE_OBJECT_SHADOW_EXACT_BUT_RATE_PARITY_UNAVAILABLE,True,True,True,UnifiedMPZFrontEngine,0,3,Peak,0,5e-06,5e-06,True,False,UNAVAILABLE,UNAVAILABLE_EXACT_BARRIER_RATE_COMPARISON_NOT_IMPLEMENTED,1000.0,True,True
