material_class,candidate_role,candidate_id,option_key,temperature_K,hazard_seed,target_um,event_transaction_index,physical_avalanche_index,pre_event_step,pre_event_time_s,pre_event_opening_m,pre_event_reaction_N_per_m,pre_event_native_J_J_per_m2,pre_event_native_KJ_MPa_sqrt_m,pre_event_K_app_or_common_reference_MPa_sqrt_m,pre_event_K_native_MPa_sqrt_m,pre_event_K_shield_MPa_sqrt_m,pre_event_K_effective_local_equivalent_MPa_sqrt_m,pre_event_source_opening_stress_Pa,pre_event_projected_extension_um,post_event_projected_extension_um,event_extension_um,pre_event_tip_radius_um,pre_event_front_width_um,pre_event_backstress_GPa,pre_event_mobile_count,pre_event_retained_count,pre_event_source_multiplicity,pre_event_resolved_shears_Pa_json,pre_event_opening_tensor_Pa_json,pre_event_channel_tensors_Pa_json,pre_event_peierls_rate_max_s,pre_event_encounter_rate_max_s,pre_event_taylor_completion_rate_max_s,reload_time_to_next_event_s,reload_opening_to_next_event_m,certified_reload_before_next_event,right_censored_at_target,source_steps_file,source_steps_sha256,source_tensor_audit_file,source_tensor_audit_sha256,source_process_zone_state_availability,in_avalanche_drive_interpretation
Peak,CONTROL,v913_zeroD_sobol_0242980,oneD_v2_Peak_control,600.0,8666,100.0,0,0,80,551.5428940556941,1.3131973667992724e-05,2860667.291192501,1118.1209908068388,22.303093017555742,22.303093017555742,22.303093017555742,-1.6300182825029198e-10,22.20526524434283,8858619153.496805,0.0,2.2973400956249024,2.2973400956249024,1.00883063252956,3.6761853637697066,0.30401767791094625,29.99967649330153,1.4819011785472676e-06,130753.22862008151,"[1289480604.3272665, -1286027823.1637573]","[[-82912507.12053162, -3789898.3857015325], [-3789898.3857015325, 2575576530.2238398]]","[[[-17446622.848475914, 23158577.395330336], [23158577.395330336, 2561514585.806057]], [[-16125278.29288296, -27890548.863279123], [-27890548.863279123, 2555930368.0346317]]]",1.4233624425535796e-07,6.51917528018367e-07,4.0,0.9756203581704312,2.3229056146914894e-08,False,False,/private/tmp/oneD-v2-taylor-peierls-pf-runs/oneD_v2_Peak_control/T600K_seed8666/steps_0600K.csv,ccddc240cd5786fa1254fad9f351d763af1e2fa7e2411cd38308e5aaeeeb938a,/private/tmp/oneD-v2-taylor-peierls-pf-runs/oneD_v2_Peak_control/T600K_seed8666/anisotropic_emission_audit_v10174.json,149619a96230df532fbdf07ce058f6099823530f2eab27a5bb716d2dcebce7c8,FULL_ACTIVE_AND_WAKE_SPATIAL_PROFILE_OBSERVER,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE
Peak,CONTROL,v913_zeroD_sobol_0242980,oneD_v2_Peak_control,600.0,8666,100.0,1,0,91,552.5185144138645,1.3155202724139638e-05,2865659.7290988006,1153.983764647088,22.65794638058456,22.65794638058456,22.65794638058456,-3.182097738737431e-11,22.64422248180527,9033737754.808783,2.2973400956249024,4.594680191249805,2.2973400956249024,1.001212499796466,7.295778149216882,0.11265321646881717,3.714707316394288,2.8947981649544904e-07,257534.04037998812,"[1415016668.5415127, -1411036850.4034126]","[[278544574.37757903, -5229914.131313975], [-5229914.131313975, 2921821994.984989]]","[[[-19082858.96547712, -51517178.856520936], [-51517178.856520936, 2810950478.1175485]], [[-17847440.114784773, 44075609.405956745], [44075609.405956745, 2804226260.6920404]]]",3.8054589811361666e-07,1.7429470792462592e-06,4.0,0.20477967024498867,4.8757064344062624e-09,False,False,/private/tmp/oneD-v2-taylor-peierls-pf-runs/oneD_v2_Peak_control/T600K_seed8666/steps_0600K.csv,ccddc240cd5786fa1254fad9f351d763af1e2fa7e2411cd38308e5aaeeeb938a,/private/tmp/oneD-v2-taylor-peierls-pf-runs/oneD_v2_Peak_control/T600K_seed8666/anisotropic_emission_audit_v10174.json,149619a96230df532fbdf07ce058f6099823530f2eab27a5bb716d2dcebce7c8,FULL_ACTIVE_AND_WAKE_SPATIAL_PROFILE_OBSERVER,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE
Peak,CONTROL,v913_zeroD_sobol_0242980,oneD_v2_Peak_control,600.0,8666,100.0,2,0,101,552.7232940841095,1.3160078430574045e-05,2866635.4793336852,1186.8343103238744,22.978186063260083,22.978186063260083,22.978186063260083,-3.0839822840729843e-12,22.97615021670455,9166157762.297985,4.594680191249805,6.892020286874707,2.2973400956249024,1.0001772217478915,9.413740676248796,0.04306859567203838,0.6058747989080551,2.8086228631131906e-08,331952.5040573382,"[1486722587.654915, -1482448381.185198]","[[506828390.88159674, -5315298.845074352], [-5315298.845074352, 3090500195.249579]]","[[[65643152.210886456, -69076228.94276828], [-69076228.94276828, 3039088327.5207167]], [[66744572.819235645, 60559238.983919166], [60559238.983919166, 3031641335.189632]]]",1.974985484168434e-06,9.04567674556143e-06,10.0,0.018501825915336667,4.405196646508182e-10,False,False,/private/tmp/oneD-v2-taylor-peierls-pf-runs/oneD_v2_Peak_control/T600K_seed8666/steps_0600K.csv,ccddc240cd5786fa1254fad9f351d763af1e2fa7e2411cd38308e5aaeeeb938a,/private/tmp/oneD-v2-taylor-peierls-pf-runs/oneD_v2_Peak_control/T600K_seed8666/anisotropic_emission_audit_v10174.json,149619a96230df532fbdf07ce058f6099823530f2eab27a5bb716d2dcebce7c8,FULL_ACTIVE_AND_WAKE_SPATIAL_PROFILE_OBSERVER,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE
Peak,CONTROL,v913_zeroD_sobol_0242980,oneD_v2_Peak_control,600.0,8666,100.0,3,0,111,552.7417959100248,1.3160518950238696e-05,2866577.429305815,1229.267975960198,23.385355654701428,23.385355654701428,23.385355654701428,-1.670692166459842e-13,23.38498657675982,9329259872.089457,6.892020286874707,9.18936038249961,2.2973400956249024,1.0000315656246301,9.887547828729199,0.018176444588344456,0.10607047569374307,1.5239310051022935e-09,348609.3771140165,"[1591785939.4207444, -1587305927.3585382]","[[623215441.6695743, -7234623.392654006], [-7234623.392654006, 3180806801.2484884]]","[[[149094329.88246846, -87140754.19261552], [-87140754.19261552, 3332666208.7239575]], [[150118525.61532235, 76028758.51119095], [76028758.51119095, 3324730380.332399]]]",3.827518552362809e-06,1.753050634541295e-05,8.0,0.008978524832173207,2.1377440076411505e-10,False,False,/private/tmp/oneD-v2-taylor-peierls-pf-runs/oneD_v2_Peak_control/T600K_seed8666/steps_0600K.csv,ccddc240cd5786fa1254fad9f351d763af1e2fa7e2411cd38308e5aaeeeb938a,/private/tmp/oneD-v2-taylor-peierls-pf-runs/oneD_v2_Peak_control/T600K_seed8666/anisotropic_emission_audit_v10174.json,149619a96230df532fbdf07ce058f6099823530f2eab27a5bb716d2dcebce7c8,FULL_ACTIVE_AND_WAKE_SPATIAL_PROFILE_OBSERVER,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE
Peak,CONTROL,v913_zeroD_sobol_0242980,oneD_v2_Peak_control,600.0,8666,100.0,4,0,121,552.750774434857,1.316073272463946e-05,2866370.083493119,1286.4049608196146,23.922664434141062,23.922664434141062,23.922664434141062,-2.2230940613862263e-15,23.92264431923853,9543754277.949398,9.18936038249961,14.507867693188759,5.31850731068915,1.0000016816628394,9.993912069470168,0.004195377349379682,0.006762162738218112,2.0393626169804967e-11,352348.9757251901,"[1553587613.813255, -1548965527.6470997]","[[844386614.290643, -8581171.865699789], [-8581171.865699789, 3477221578.386959]]","[[[338697229.1916742, -174773694.9107223], [-174773694.9107223, 3445872456.8181844]], [[337037014.1994287, 161634948.05353191], [161634948.05353191, 3434968069.493628]]]",1.1949966555118207e-05,5.4732318512904484e-05,8.0,8.040322882152395e-06,1.914362596124996e-13,False,False,/private/tmp/oneD-v2-taylor-peierls-pf-runs/oneD_v2_Peak_control/T600K_seed8666/steps_0600K.csv,ccddc240cd5786fa1254fad9f351d763af1e2fa7e2411cd38308e5aaeeeb938a,/private/tmp/oneD-v2-taylor-peierls-pf-runs/oneD_v2_Peak_control/T600K_seed8666/anisotropic_emission_audit_v10174.json,149619a96230df532fbdf07ce058f6099823530f2eab27a5bb716d2dcebce7c8,FULL_ACTIVE_AND_WAKE_SPATIAL_PROFILE_OBSERVER,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE
Peak,CONTROL,v913_zeroD_sobol_0242980,oneD_v2_Peak_control,600.0,8666,100.0,5,0,131,552.7507824751799,1.316073291607572e-05,2865380.6430833857,1458.0969633936836,25.469117562774795,25.469117562774795,25.469117562774795,-8.213092589081644e-17,25.469113533675436,10160706232.92747,14.507867693188759,16.80520778881366,2.2973400956249024,1.0000003163910416,9.998853756207586,0.0018197576095043723,0.0009658762072145584,7.559959297475297e-13,352522.72032955615,"[1499676687.7046793, -1478699175.433442]","[[1024812657.6117527, -22430466.85960751], [-22430466.85960751, 3721758011.9548817]]","[[[655270978.0079316, -425873270.0434792], [-425873270.0434792, 3654624353.41729]], [[645506745.4461185, 400268962.26302457], [400268962.26302457, 3602905096.313003]]]",0.00020318068460088102,0.0009305925580588709,6.0,1.1385843890820979e-05,2.710915174931666e-13,False,False,/private/tmp/oneD-v2-taylor-peierls-pf-runs/oneD_v2_Peak_control/T600K_seed8666/steps_0600K.csv,ccddc240cd5786fa1254fad9f351d763af1e2fa7e2411cd38308e5aaeeeb938a,/private/tmp/oneD-v2-taylor-peierls-pf-runs/oneD_v2_Peak_control/T600K_seed8666/anisotropic_emission_audit_v10174.json,149619a96230df532fbdf07ce058f6099823530f2eab27a5bb716d2dcebce7c8,FULL_ACTIVE_AND_WAKE_SPATIAL_PROFILE_OBSERVER,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE
Peak,CONTROL,v913_zeroD_sobol_0242980,oneD_v2_Peak_control,600.0,8666,100.0,6,0,141,552.7507938610238,1.3160733187167237e-05,2865380.7021059636,1459.1567779710558,25.478371967542657,25.478371967542657,25.478371967542657,-7.7184493628663e-18,25.47837156924136,10164399654.748177,16.80520778881366,19.102547884438565,2.2973400956249024,1.0000000312658368,9.999886710366804,0.0005720486933280472,9.225832767672021e-05,7.133235769892608e-14,352559.03796151816,"[1681356630.4490726, -1656441586.6934962]","[[1133132071.345917, -25892223.45887966], [-25892223.45887966, 3896515862.511663]]","[[[828579237.6781539, -281172212.5414082], [-281172212.5414082, 4191292498.576299]], [[825718828.1444976, 243701131.0393005], [243701131.0393005, 4138602001.5314903]]]",0.00020687417740994344,0.0009475092099941137,6.0,1.4827360246272292e-06,3.5303238874991386e-14,False,False,/private/tmp/oneD-v2-taylor-peierls-pf-runs/oneD_v2_Peak_control/T600K_seed8666/steps_0600K.csv,ccddc240cd5786fa1254fad9f351d763af1e2fa7e2411cd38308e5aaeeeb938a,/private/tmp/oneD-v2-taylor-peierls-pf-runs/oneD_v2_Peak_control/T600K_seed8666/anisotropic_emission_audit_v10174.json,149619a96230df532fbdf07ce058f6099823530f2eab27a5bb716d2dcebce7c8,FULL_ACTIVE_AND_WAKE_SPATIAL_PROFILE_OBSERVER,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE
Peak,CONTROL,v913_zeroD_sobol_0242980,oneD_v2_Peak_control,600.0,8666,100.0,7,0,151,552.7507953437598,1.3160733222470476e-05,2864519.4529911545,1575.5365958530047,26.47493746344428,26.47493746344428,26.47493746344428,-2.7831948888441286e-19,26.474937442932294,10561971916.968683,19.102547884438565,21.9809590141333,2.8784111296947366,1.0000000015495405,9.999994385254961,0.00012734918409140468,4.71458114161316e-06,2.5875296770518187e-15,352562.8237031622,"[1415656890.4048228, -1421709205.5252843]","[[1010967852.5100234, -2470176.909384869], [-2470176.909384869, 3812957376.0735383]]","[[[837449204.5874252, -539893453.7711551], [-539893453.7711551, 3668762985.397071]], [[841909157.5364293, 440164735.9156333], [440164735.9156333, 3685327568.586998]]]",0.0013748323017445424,0.006296901258579928,6.0,3.360000846441835e-07,8.000002570118792e-15,False,False,/private/tmp/oneD-v2-taylor-peierls-pf-runs/oneD_v2_Peak_control/T600K_seed8666/steps_0600K.csv,ccddc240cd5786fa1254fad9f351d763af1e2fa7e2411cd38308e5aaeeeb938a,/private/tmp/oneD-v2-taylor-peierls-pf-runs/oneD_v2_Peak_control/T600K_seed8666/anisotropic_emission_audit_v10174.json,149619a96230df532fbdf07ce058f6099823530f2eab27a5bb716d2dcebce7c8,FULL_ACTIVE_AND_WAKE_SPATIAL_PROFILE_OBSERVER,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE
Peak,CONTROL,v913_zeroD_sobol_0242980,oneD_v2_Peak_control,600.0,8666,100.0,8,0,155,552.7507956797599,1.3160733230470478e-05,2857409.855766052,1834.0725734537284,28.564653059730553,28.564653059730553,28.564653059730553,-2.3729225112805647e-19,28.56465305641899,11395647829.203545,21.9809590141333,24.278299109758198,2.297340095624899,1.0000000002318645,9.999999159840273,4.92625268970762e-05,8.051368047876673e-07,2.2183325070109716e-15,352562.991572821,"[1882301463.9064224, -1872311789.0156462]","[[2288303877.866516, 2954591.2783838753], [2954591.2783838753, 5096772248.985414]]","[[[1298863017.5440125, -229132480.4195617], [-229132480.4195617, 5063465945.356857]], [[1326627403.4496014, 259650349.8269692], [259650349.8269692, 5071250981.480894]]]",0.11030036960487692,0.505189276761578,12.0,3.0751347139812424e-06,7.321749746747562e-14,False,False,/private/tmp/oneD-v2-taylor-peierls-pf-runs/oneD_v2_Peak_control/T600K_seed8666/steps_0600K.csv,ccddc240cd5786fa1254fad9f351d763af1e2fa7e2411cd38308e5aaeeeb938a,/private/tmp/oneD-v2-taylor-peierls-pf-runs/oneD_v2_Peak_control/T600K_seed8666/anisotropic_emission_audit_v10174.json,149619a96230df532fbdf07ce058f6099823530f2eab27a5bb716d2dcebce7c8,FULL_ACTIVE_AND_WAKE_SPATIAL_PROFILE_OBSERVER,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE
Peak,CONTROL,v913_zeroD_sobol_0242980,oneD_v2_Peak_control,600.0,8666,100.0,9,0,165,552.7507987548946,1.3160733303687976e-05,2856841.503708155,1875.422400588064,28.884858530810746,28.884858530810746,28.884858530810746,-3.714578924817763e-19,28.884858527384228,11523391329.987432,24.278299109758198,37.596235373684394,13.317936263926194,1.0000000002372538,9.99999914031243,4.983078940313532e-05,9.90673415993093e-07,3.642399660177175e-15,352562.9908862414,"[1844293509.710519, -1831673347.9233174]","[[2346423107.5355797, 20604769.414013866], [20604769.414013866, 4853588296.214586]]","[[[1228213401.31197, -179948707.88159996], [-179948707.88159996, 4916800420.733008]], [[1257531967.4843128, 211007843.40404478], [211007843.40404478, 4920878663.330948]]]",0.18807532079876083,0.861408131553774,12.0,2.192880401707953e-06,5.2211453070065764e-14,False,False,/private/tmp/oneD-v2-taylor-peierls-pf-runs/oneD_v2_Peak_control/T600K_seed8666/steps_0600K.csv,ccddc240cd5786fa1254fad9f351d763af1e2fa7e2411cd38308e5aaeeeb938a,/private/tmp/oneD-v2-taylor-peierls-pf-runs/oneD_v2_Peak_control/T600K_seed8666/anisotropic_emission_audit_v10174.json,149619a96230df532fbdf07ce058f6099823530f2eab27a5bb716d2dcebce7c8,FULL_ACTIVE_AND_WAKE_SPATIAL_PROFILE_OBSERVER,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE
