feature,spearman_with_deltaK_reinit
CHECKPOINT_025UM__tip_radius_m,0.9285714285714287
CHECKPOINT_025UM__multiplicity,0.9285714285714287
CHECKPOINT_025UM__backstress_Pa,0.9285714285714287
CHECKPOINT_025UM__front_width_m,-0.9285714285714287
CHECKPOINT_025UM__near_tip_retained,0.9047619047619048
CHECKPOINT_050UM__backstress_Pa,0.9047619047619048
CHECKPOINT_050UM__shielding_MPa_sqrt_m,-0.9047619047619048
CHECKPOINT_050UM__near_tip_retained,0.9047619047619048
CHECKPOINT_050UM__multiplicity,0.9047619047619048
CHECKPOINT_025UM__shielding_MPa_sqrt_m,-0.9047619047619048
CHECKPOINT_050UM__tip_radius_m,0.9047619047619048
CHECKPOINT_050UM__front_width_m,-0.9047619047619048
REINITIATION_ONSET_01__front_width_m,-0.9047619047619048
REINITIATION_ONSET_01__tip_radius_m,0.9047619047619048
REINITIATION_ONSET_01__near_tip_retained,-0.9047619047619048
REINITIATION_ONSET_01__multiplicity,0.9047619047619048
REINITIATION_ONSET_01__shielding_MPa_sqrt_m,0.9047619047619048
REINITIATION_ONSET_01__backstress_Pa,0.9047619047619048
REINITIATION_ONSET_01__wake_retained,0.8333333333333335
CHECKPOINT_100UM__retained_total,0.8095238095238096
CHECKPOINT_100UM__retained_fraction,0.8095238095238096
REINITIATION_ONSET_01__retained_total,0.8095238095238096
CHECKPOINT_100UM__wake_mobile,-0.8095238095238096
CHECKPOINT_100UM__wake_retained,0.8095238095238096
CHECKPOINT_100UM__mobile_total,-0.8095238095238096
CHECKPOINT_200UM__peierls_velocity_max_m_s,0.7619047619047621
CHECKPOINT_200UM__retained_total,0.7619047619047621
CHECKPOINT_100UM__encounter_rate_mean_s,0.7619047619047621
CHECKPOINT_200UM__encounter_rate_mean_s,0.7619047619047621
CHECKPOINT_200UM__encounter_rate_max_s,0.7619047619047621
CHECKPOINT_200UM__peierls_velocity_mean_m_s,0.7619047619047621
CHECKPOINT_100UM__encounter_rate_max_s,0.7619047619047621
CHECKPOINT_200UM__backstress_Pa,0.7619047619047621
CHECKPOINT_200UM__multiplicity,0.7619047619047621
CHECKPOINT_200UM__shielding_MPa_sqrt_m,0.7619047619047621
CHECKPOINT_000UM__near_tip_retained,0.7619047619047621
CHECKPOINT_200UM__front_width_m,-0.7619047619047621
CHECKPOINT_200UM__tip_radius_m,0.7619047619047621
CHECKPOINT_200UM__wake_retained,0.7619047619047621
CHECKPOINT_200UM__near_tip_retained,0.7619047619047621
CHECKPOINT_000UM__retained_total,0.7619047619047621
CHECKPOINT_300UM__shielding_MPa_sqrt_m,-0.7619047619047621
CHECKPOINT_300UM__retained_total,0.7619047619047621
CHECKPOINT_300UM__near_tip_retained,0.7619047619047621
REINITIATION_ONSET_01__encounter_rate_max_s,0.7619047619047621
REINITIATION_ONSET_01__peierls_velocity_mean_m_s,0.7619047619047621
REINITIATION_ONSET_01__peierls_velocity_max_m_s,0.7619047619047621
INITIAL_ONSET__encounter_rate_mean_s,0.7619047619047621
INITIAL_ONSET__encounter_rate_max_s,0.7619047619047621
INITIAL_ONSET__peierls_velocity_mean_m_s,0.7619047619047621
INITIAL_ONSET__peierls_velocity_max_m_s,0.7619047619047621
INITIAL_ONSET__multiplicity,0.7619047619047621
INITIAL_ONSET__shielding_MPa_sqrt_m,0.7619047619047621
INITIAL_ONSET__backstress_Pa,0.7619047619047621
INITIAL_ONSET__front_width_m,-0.7619047619047621
INITIAL_ONSET__tip_radius_m,0.7619047619047621
INITIAL_ONSET__near_tip_retained,-0.7619047619047621
CHECKPOINT_300UM__encounter_rate_mean_s,0.7619047619047621
CHECKPOINT_300UM__encounter_rate_max_s,0.7619047619047621
CHECKPOINT_300UM__peierls_velocity_mean_m_s,0.7619047619047621
CHECKPOINT_300UM__peierls_velocity_max_m_s,0.7619047619047621
CHECKPOINT_300UM__multiplicity,0.7619047619047621
CHECKPOINT_100UM__peierls_velocity_max_m_s,0.7619047619047621
CHECKPOINT_300UM__backstress_Pa,0.7619047619047621
CHECKPOINT_300UM__front_width_m,-0.7619047619047621
CHECKPOINT_300UM__tip_radius_m,0.7619047619047621
CHECKPOINT_300UM__wake_retained,0.7619047619047621
CHECKPOINT_100UM__peierls_velocity_mean_m_s,0.7619047619047621
REINITIATION_ONSET_01__encounter_rate_mean_s,0.7619047619047621
CHECKPOINT_100UM__multiplicity,0.7619047619047621
CHECKPOINT_100UM__near_tip_retained,0.7619047619047621
CHECKPOINT_025UM__encounter_rate_max_s,0.7619047619047621
CHECKPOINT_025UM__peierls_velocity_mean_m_s,0.7619047619047621
CHECKPOINT_050UM__near_tip_mobile,-0.7619047619047621
CHECKPOINT_025UM__peierls_velocity_max_m_s,0.7619047619047621
CHECKPOINT_050UM__peierls_velocity_max_m_s,0.7619047619047621
CHECKPOINT_050UM__peierls_velocity_mean_m_s,0.7619047619047621
CHECKPOINT_100UM__shielding_MPa_sqrt_m,-0.7619047619047621
CHECKPOINT_050UM__encounter_rate_mean_s,0.7619047619047621
CHECKPOINT_000UM__encounter_rate_mean_s,0.7619047619047621
CHECKPOINT_000UM__encounter_rate_max_s,0.7619047619047621
CHECKPOINT_050UM__encounter_rate_max_s,0.7619047619047621
CHECKPOINT_000UM__peierls_velocity_mean_m_s,0.7619047619047621
CHECKPOINT_100UM__tip_radius_m,0.7619047619047621
CHECKPOINT_100UM__backstress_Pa,0.7619047619047621
CHECKPOINT_100UM__front_width_m,-0.7619047619047621
CHECKPOINT_025UM__encounter_rate_mean_s,0.7619047619047621
CHECKPOINT_000UM__peierls_velocity_max_m_s,0.7619047619047621
CHECKPOINT_100UM__retained_width_m,0.7380952380952381
CHECKPOINT_100UM__wake_retained_width_m,0.7380952380952381
CHECKPOINT_300UM__retained_fraction,0.7380952380952381
CHECKPOINT_300UM__mobile_width_m,0.7380952380952381
CHECKPOINT_100UM__near_tip_mobile,-0.7364853795464743
CHECKPOINT_000UM__multiplicity,-0.7065994945288229
CHECKPOINT_000UM__backstress_Pa,0.7065994945288229
CHECKPOINT_200UM__retained_fraction,0.6904761904761906
CHECKPOINT_200UM__mobile_centroid_tip_relative_m,-0.6666666666666669
CHECKPOINT_100UM__retained_centroid_tip_relative_m,0.6190476190476191
CHECKPOINT_050UM__mobile_centroid_tip_relative_m,-0.6190476190476191
CHECKPOINT_025UM__mobile_centroid_tip_relative_m,-0.6190476190476191
CHECKPOINT_100UM__wake_retained_centroid_laboratory_m,0.6190476190476191
REINITIATION_ONSET_01__retained_width_m,0.5952380952380953
REINITIATION_ONSET_01__wake_retained_width_m,0.5952380952380953
REINITIATION_ONSET_01__retained_centroid_tip_relative_m,0.5952380952380953
REINITIATION_ONSET_01__wake_retained_centroid_laboratory_m,0.5952380952380953
REINITIATION_ONSET_01__mobile_centroid_tip_relative_m,-0.5714285714285715
REINITIATION_ONSET_01__retained_fraction,0.523809523809524
REINITIATION_ONSET_01__mobile_total,-0.523809523809524
REINITIATION_ONSET_01__wake_mobile,-0.523809523809524
CHECKPOINT_025UM__mobile_width_m,0.5000000000000001
CHECKPOINT_050UM__mobile_width_m,0.5000000000000001
