material_class,candidate_role,candidate_id,option_key,temperature_K,hazard_seed,target_um,event_transaction_index,physical_avalanche_index,pre_event_step,pre_event_time_s,pre_event_opening_m,pre_event_reaction_N_per_m,pre_event_native_J_J_per_m2,pre_event_native_KJ_MPa_sqrt_m,pre_event_K_app_or_common_reference_MPa_sqrt_m,pre_event_K_native_MPa_sqrt_m,pre_event_K_shield_MPa_sqrt_m,pre_event_K_effective_local_equivalent_MPa_sqrt_m,pre_event_source_opening_stress_Pa,pre_event_projected_extension_um,post_event_projected_extension_um,event_extension_um,pre_event_tip_radius_um,pre_event_front_width_um,pre_event_backstress_GPa,pre_event_mobile_count,pre_event_retained_count,pre_event_source_multiplicity,pre_event_resolved_shears_Pa_json,pre_event_opening_tensor_Pa_json,pre_event_channel_tensors_Pa_json,pre_event_peierls_rate_max_s,pre_event_encounter_rate_max_s,pre_event_taylor_completion_rate_max_s,reload_time_to_next_event_s,reload_opening_to_next_event_m,certified_reload_before_next_event,right_censored_at_target,source_steps_file,source_steps_sha256,source_tensor_audit_file,source_tensor_audit_sha256,source_process_zone_state_availability,in_avalanche_drive_interpretation,onset_role,resistance_candidate_policy
DBTT,CONTROL,v913_zeroD_sobol_0202500,oneD_v2_DBTT_spatial_00_control,1100.0,1008666,300.0,0,0,175,1372.7231674048933,3.268388493821179e-05,7119852.883936919,6926.217735438456,55.50968532085477,55.50968532085477,55.50968532085477,-3.726714083983024,20.08995158829768,8014731099.789861,0.0,2.931106565679095,2.931106565679095,7.634485073185825,0.15055173032887342,7.981595613481321,0.0,25263.98741143706,1505.547319142136,"[3209360357.202898, -3200766804.922176]","[[-206359143.81027782, -9432596.036016915], [-9432596.036016915, 6410296661.54227]]","[[[-43422521.86583167, 57638881.866366], [57638881.866366, 6375298192.539965]], [[-40133856.0102214, -69416183.19969718], [-69416183.19969718, 6361399753.83413]]]",1100313261519.4668,5039570246132.836,2.0,7.052843248882937,1.679248392590969e-07,False,False,/private/tmp/oneD-v2-taylor-peierls-pf-runs-300um/oneD_v2_DBTT_control/T1100K_seed1008666/steps_1100K.csv,0991053a3c1df8f64f0040008d38dbcc608f5d82f2f0b519f03bce43cdd08e8e,/private/tmp/oneD-v2-taylor-peierls-pf-runs-300um/oneD_v2_DBTT_control/T1100K_seed1008666/anisotropic_emission_audit_v10174.json,d63211d73e7c4cd31b00243541bdd337022c214117540a1fba04553fb914bec1,FULL_ACTIVE_AND_WAKE_SPATIAL_PROFILE_OBSERVER,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE,INITIAL_ONSET_PRE_EVENT,RELOAD_SEPARATED_PRE_EVENT_ONLY
DBTT,CONTROL,v913_zeroD_sobol_0202500,oneD_v2_DBTT_spatial_00_control,1100.0,1008666,300.0,11,1,298,1551.202141662336,3.693338432529374e-05,8068846.064625057,5435.791276092953,49.17587333466602,49.17587333466602,49.17587333466602,-2.066736866308218,21.413342552421785,8542687708.880182,50.12934688319599,52.42668697882088,2.2973400956248953,5.273940598008174,0.18756333191676322,6.405633233709817,0.0,16223.151184216587,1295.7227413267585,"[4044595322.3765144, -3938079816.391708]","[[4572327976.485977, 93722907.6804718], [93722907.6804718, 10623179545.155691]]","[[[2446570466.2080026, -481513310.77625895], [-481513310.77625895, 10535761110.961033]], [[2677543211.2069745, 595720306.8796494], [595720306.8796494, 10553702843.99039]]]",53915349814453.95,246938942060508.62,98.0,0.327413838839675,7.795567591427908e-09,False,False,/private/tmp/oneD-v2-taylor-peierls-pf-runs-300um/oneD_v2_DBTT_control/T1100K_seed1008666/steps_1100K.csv,0991053a3c1df8f64f0040008d38dbcc608f5d82f2f0b519f03bce43cdd08e8e,/private/tmp/oneD-v2-taylor-peierls-pf-runs-300um/oneD_v2_DBTT_control/T1100K_seed1008666/anisotropic_emission_audit_v10174.json,d63211d73e7c4cd31b00243541bdd337022c214117540a1fba04553fb914bec1,FULL_ACTIVE_AND_WAKE_SPATIAL_PROFILE_OBSERVER,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE,REINITIATION_ONSET_PRE_EVENT,RELOAD_SEPARATED_PRE_EVENT_ONLY
DBTT,TRANSPORT_EXTREME,oneD_v2_dbtt_TP_f07fe99faea93479,oneD_v2_DBTT_spatial_01_transport_extreme,1100.0,1008666,300.0,0,0,175,1372.6854663459787,3.268298729395195e-05,7119657.341237992,6925.83729142286,55.508160779005244,55.508160779005244,55.508160779005244,-3.7241879912511253,20.085760414234564,8013059063.251562,0.0,2.931106565679095,2.931106565679095,7.637251966364048,0.15052035366907215,7.983259790945817,0.0,25248.927392420424,1505.7790736411396,"[3209272213.951023, -3200678897.6873136]","[[-206353476.27408457, -9432336.97514665], [-9432336.97514665, 6410120606.400327]]","[[[-43421329.29103419, 57637298.84734758], [57637298.84734758, 6375123098.611012]], [[-40132753.75675474, -69414276.72381382], [-69414276.72381382, 6361225041.617872]]]",1747147678466.5435,8002151536228.009,2.0,7.129993141702471,1.6976174146910767e-07,False,False,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_01_transport_extreme/T1100K_seed1008666/steps_1100K.csv,2da79c0f06165ce739aa3a010d6f3ab0ce74bfe7928f3959f6591a1cc0d15c07,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_01_transport_extreme/T1100K_seed1008666/anisotropic_emission_audit_v10174.json,d66129e9f350ddb673931b47a84cfb1203764993bd1c0b198095f8bbeb9c7bae,FULL_ACTIVE_AND_WAKE_SPATIAL_PROFILE_OBSERVER,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE,INITIAL_ONSET_PRE_EVENT,RELOAD_SEPARATED_PRE_EVENT_ONLY
DBTT,TRANSPORT_EXTREME,oneD_v2_dbtt_TP_f07fe99faea93479,oneD_v2_DBTT_spatial_01_transport_extreme,1100.0,1008666,300.0,11,1,299,1551.2413192082697,3.6934317124006473e-05,8069049.85340206,5436.065854945047,49.17711533271691,49.17711533271691,49.17711533271691,-2.066524759548096,21.412762103432556,8542456143.236762,50.12934688319599,52.42668697882088,2.2973400956248953,5.274492947535005,0.1875512173328355,6.406047143674218,0.0,16221.739900308876,1295.7747461722956,"[4044697473.678897, -3938179277.51206]","[[4572443456.335131, 93725274.76946747], [93725274.76946747, 10623447846.812473]]","[[[2446632257.3983607, -481525471.9958349], [-481525471.9958349, 10536027204.756155]], [[2677610835.902256, 595735352.539438], [595735352.539438, 10553969390.926376]]]",85610236244860.62,392105425275172.1,98.0,0.374191348421391,8.909317819559277e-09,False,False,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_01_transport_extreme/T1100K_seed1008666/steps_1100K.csv,2da79c0f06165ce739aa3a010d6f3ab0ce74bfe7928f3959f6591a1cc0d15c07,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_01_transport_extreme/T1100K_seed1008666/anisotropic_emission_audit_v10174.json,d66129e9f350ddb673931b47a84cfb1203764993bd1c0b198095f8bbeb9c7bae,FULL_ACTIVE_AND_WAKE_SPATIAL_PROFILE_OBSERVER,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE,REINITIATION_ONSET_PRE_EVENT,RELOAD_SEPARATED_PRE_EVENT_ONLY
DBTT,RETENTION_EXTREME,oneD_v2_dbtt_TP_4895f9e5b44deea5,oneD_v2_DBTT_spatial_02_retention_extreme,1100.0,1008666,300.0,0,0,175,1372.6872194869609,3.2683029035403874e-05,7119666.434189993,6925.85498225916,55.508231671889185,55.508231671889185,55.508231671889185,-3.7243094258594946,20.085961544395765,8013139302.576728,0.0,2.931106565679095,2.931106565679095,7.637118523981768,0.1505218664598582,7.983179538561341,0.0,25249.6509955345,1505.7678972460437,"[3209276312.709824, -3200682985.471061]","[[-206353739.8207911, -9432349.021762969], [-9432349.021762969, 6410128793.159347]]","[[[-43421384.74708318, 57637372.45948416], [57637372.45948416, 6375131240.6725645]], [[-40132805.012761265, -69414365.377054], [-69414365.377054, 6361233165.92936]]]",1699122367737.3074,7782189698561.781,2.0,7.173874625174221,1.708065386946296e-07,False,False,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_02_retention_extreme/T1100K_seed1008666/steps_1100K.csv,358617cdb5d022db1e82d54e2721962215773c122409b76e3508478951e6c9fa,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_02_retention_extreme/T1100K_seed1008666/anisotropic_emission_audit_v10174.json,e5d70aa5993d19a8986c1245fa252488eeb7dc6bac12e241fce8c09467a18998,FULL_ACTIVE_AND_WAKE_SPATIAL_PROFILE_OBSERVER,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE,INITIAL_ONSET_PRE_EVENT,RELOAD_SEPARATED_PRE_EVENT_ONLY
DBTT,RETENTION_EXTREME,oneD_v2_dbtt_TP_4895f9e5b44deea5,oneD_v2_DBTT_spatial_02_retention_extreme,1100.0,1008666,300.0,11,1,300,1551.2882480022824,3.693543447624481e-05,8069293.961635734,5436.394768145578,49.1786030591505,49.1786030591505,49.1786030591505,-2.0662691899296264,21.41206191169852,8542176807.149668,50.12934688319599,52.42668697882088,2.2973400956248953,5.275157071526056,0.18753665432508246,6.406544777870017,0.0,16220.039059616469,1295.8372730629753,"[4044819835.5398326, -3938298416.9404645]","[[4572581783.785818, 93728110.18524705], [93728110.18524705, 10623769231.750788]]","[[[2446706273.9293847, -481540039.3035806], [-481540039.3035806, 10536345945.00905]], [[2677691840.0927734, 595753374.9717306], [595753374.9717306, 10554288673.973703]]]",83256996019128.17,381327295229526.3,98.0,0.34495933162043,8.213317419525367e-09,False,False,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_02_retention_extreme/T1100K_seed1008666/steps_1100K.csv,358617cdb5d022db1e82d54e2721962215773c122409b76e3508478951e6c9fa,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_02_retention_extreme/T1100K_seed1008666/anisotropic_emission_audit_v10174.json,e5d70aa5993d19a8986c1245fa252488eeb7dc6bac12e241fce8c09467a18998,FULL_ACTIVE_AND_WAKE_SPATIAL_PROFILE_OBSERVER,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE,REINITIATION_ONSET_PRE_EVENT,RELOAD_SEPARATED_PRE_EVENT_ONLY
DBTT,NEAR_TIP_RETENTION_EXTREME,oneD_v2_dbtt_TP_7e668ee637fc3ac5,oneD_v2_DBTT_spatial_03_near_tip_retention_extreme,1100.0,1008666,300.0,0,0,175,1372.708397657206,3.268353327755257e-05,7119776.27822853,6926.068691639274,55.509088067114256,55.509088067114256,55.509088067114256,-3.725745030387321,20.088341986938936,8014088961.753266,0.0,2.931106565679095,2.931106565679095,7.635544254702428,0.1505397168577468,7.982232710508015,0.0,25258.20825028263,1505.6360396902294,"[3209325826.2473187, -3200732366.4285035]","[[-206356923.4991797, -9432494.546461243], [-9432494.546461243, 6410227690.269296]]","[[[-43422054.66333325, 57638261.70363943], [57638261.70363943, 6375229597.831304]], [[-40133424.191966765, -69415436.31967376], [-69415436.31967376, 6361331308.66504]]]",1281540911600.014,5869615202476.698,2.0,6.990596686618346,1.6644277825280182e-07,False,False,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_03_near_tip_retention_extreme/T1100K_seed1008666/steps_1100K.csv,4f0bf069a9ee79042a035d6c118f8b6e8c4f8ef910d4ee4fc7de49305e28eeb6,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_03_near_tip_retention_extreme/T1100K_seed1008666/anisotropic_emission_audit_v10174.json,535634f93722eed5af6f40646d40476a8b8e0378850a1fbe86305cd9a6e36b4d,FULL_ACTIVE_AND_WAKE_SPATIAL_PROFILE_OBSERVER,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE,INITIAL_ONSET_PRE_EVENT,RELOAD_SEPARATED_PRE_EVENT_ONLY
DBTT,NEAR_TIP_RETENTION_EXTREME,oneD_v2_dbtt_TP_7e668ee637fc3ac5,oneD_v2_DBTT_spatial_03_near_tip_retention_extreme,1100.0,1008666,300.0,11,1,295,1551.1277390223868,3.693161283386634e-05,8068459.046432882,5435.269838543347,49.17351463833644,49.17351463833644,49.17351463833644,-2.067136577485627,21.414434710676243,8543123416.984774,50.12934688319599,52.42668697882088,2.2973400956248953,5.272896798762938,0.1875862317944122,6.404850976647523,0.0,16225.80990584566,1295.624461917069,"[4044401325.3715897, -3937890928.350101]","[[4572108667.046518, 93718412.3077747], [93718412.3077747, 10622670009.627348]]","[[[2446453117.6712623, -481490215.2295654], [-481490215.2295654, 10535255768.414442]], [[2677414784.177289, 595691733.4511366], [595691733.4511366, 10553196640.877491]]]",62795504668400.75,287611144921357.94,98.0,0.34480510631533434,8.209645388475913e-09,False,False,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_03_near_tip_retention_extreme/T1100K_seed1008666/steps_1100K.csv,4f0bf069a9ee79042a035d6c118f8b6e8c4f8ef910d4ee4fc7de49305e28eeb6,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_03_near_tip_retention_extreme/T1100K_seed1008666/anisotropic_emission_audit_v10174.json,535634f93722eed5af6f40646d40476a8b8e0378850a1fbe86305cd9a6e36b4d,FULL_ACTIVE_AND_WAKE_SPATIAL_PROFILE_OBSERVER,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE,REINITIATION_ONSET_PRE_EVENT,RELOAD_SEPARATED_PRE_EVENT_ONLY
DBTT,PERSISTENT_WAKE_EXTREME,oneD_v2_dbtt_TP_b60d78111740b058,oneD_v2_DBTT_spatial_04_persistent_wake_extreme,1100.0,1008666,300.0,0,0,175,1372.6872482585304,3.2683029720441256e-05,7119666.583418438,6925.8552725914615,55.50823283534355,55.50823283534355,55.50823283534355,-3.7243114153483527,20.085964839846337,8013140617.271295,0.0,2.931106565679095,2.931106565679095,7.637116338127132,0.1505218912405265,7.983178223979426,0.0,25249.662850785084,1505.7677141703573,"[3209276379.9763627, -3200683052.557484]","[[-206353744.14597276, -9432349.21946554], [-9432349.21946554, 6410128927.515862]]","[[[-43421385.65719492, 57637373.66756595], [57637373.66756595, 6375131374.29553]], [[-40132805.85394616, -69414366.8319815], [-69414366.8319815, 6361233299.261022]]]",1698601554463.1943,7779804309625.918,2.0,6.831897547218205,1.6266422731470756e-07,False,False,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_04_persistent_wake_extreme/T1100K_seed1008666/steps_1100K.csv,8b45cdeca4e76bc1ca0adbfacd1985675bb6b82168a75eb01a5b3f81eca2b1a9,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_04_persistent_wake_extreme/T1100K_seed1008666/anisotropic_emission_audit_v10174.json,5d0c2c9d18059a5318d70c3657329be7011fb89628022ea482d72b59e737d3e2,FULL_ACTIVE_AND_WAKE_SPATIAL_PROFILE_OBSERVER,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE,INITIAL_ONSET_PRE_EVENT,RELOAD_SEPARATED_PRE_EVENT_ONLY
DBTT,PERSISTENT_WAKE_EXTREME,oneD_v2_dbtt_TP_b60d78111740b058,oneD_v2_DBTT_spatial_04_persistent_wake_extreme,1100.0,1008666,300.0,11,1,296,1550.9484567038764,3.692734420723517e-05,8067526.478464265,5434.013473332932,49.16783106921971,49.16783106921971,49.16783106921971,-2.0680832405005325,21.417012379599637,8544151758.103194,50.12934688319599,52.42668697882088,2.2973400956248953,5.270409084907061,0.18764084350340965,6.402986217639137,0.0,16232.102484776511,1295.3902111660072,"[4043933865.7108846, -3937435779.365328]","[[4571580213.959335, 93707580.15396437], [93707580.15396437, 10621442221.057669]]","[[[2446170351.9286203, -481434563.6671873], [-481434563.6671873, 10534038083.35039]], [[2677105323.442339, 595622882.2582883], [595622882.2582883, 10551976882.172995]]]",83231476168696.34,381210411171669.7,98.0,0.33254941347740896,7.917843178042929e-09,False,False,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_04_persistent_wake_extreme/T1100K_seed1008666/steps_1100K.csv,8b45cdeca4e76bc1ca0adbfacd1985675bb6b82168a75eb01a5b3f81eca2b1a9,/private/tmp/oneD-v2-taylor-peierls-spatial-pf-runs/oneD_v2_DBTT_spatial_04_persistent_wake_extreme/T1100K_seed1008666/anisotropic_emission_audit_v10174.json,5d0c2c9d18059a5318d70c3657329be7011fb89628022ea482d72b59e737d3e2,FULL_ACTIVE_AND_WAKE_SPATIAL_PROFILE_OBSERVER,PF_MODEL_NATIVE_DRIVING_TRAJECTORY_NOT_RESISTANCE,REINITIATION_ONSET_PRE_EVENT,RELOAD_SEPARATED_PRE_EVENT_ONLY
