provider,material_class,candidate_id,temperature_K,target_um,status,event_count,physical_avalanche_count,precursor_reinitiation_count,largest_avalanche_fraction,first_event_opening_um,first_event_native_KJ_MPa_sqrt_m,onset_envelope_min_MPa_sqrt_m,onset_envelope_max_MPa_sqrt_m,qualified_G_onset_min_J_m2,qualified_G_onset_max_J_m2,mean_event_size_um,median_event_size_um,terminal_extension_um,terminal_opening_um,max_tip_radius_um,max_backstress_GPa,minimum_front_width_um,max_source_multiplicity,model_contract
PF,Peak,v913_zeroD_sobol_0242980,300.0,1000.0,TARGET_RIGHT_CENSORED,200,1,0,1.0,12.00358264428253,23.862725025576854,23.862725025576854,23.862725025576854,,,4.999999999999989,5.0,1000.0,13.716497139380099,1.0000001648257861,0.0013114807960876028,9.999402808324808,352563.0211089279,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
PF,Peak,v913_zeroD_sobol_0242980,600.0,1000.0,TARGET_RIGHT_CENSORED,200,1,0,1.0,11.402329107853271,22.667452894276874,22.667452894276874,22.667452894276874,,,4.999999999999989,5.0,1000.0,12.94964404359922,1.0132477735508147,0.3723705047316934,3.071382221455179,352562.93226066895,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
PF,Peak,v913_zeroD_sobol_0242980,900.0,1000.0,TARGET_RIGHT_CENSORED,200,1,0,1.0,29.209737146686475,58.06799072048371,58.06799072048371,58.06799072048371,,,4.999999999999989,5.0,1000.0,29.209741884787732,7.632022243511428,8.331565731603238,0.14422916598611474,352226.7760869525,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
PF,Peak,v913_zeroD_sobol_0242980,1100.0,1000.0,TARGET_RIGHT_CENSORED,200,1,0,1.0,27.308087189984104,54.28757354367498,54.28757354367498,54.28757354367498,,,4.999999999999989,5.0,1000.0,27.30809192808536,7.175915174571262,8.039967922660047,0.14945900342086987,347637.1761793559,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
PF,Peak,v913_zeroD_sobol_0242980,1200.0,1000.0,TARGET_RIGHT_CENSORED,200,1,0,1.0,26.390205035838576,52.46285419951387,52.46285419951387,52.46285419951387,,,4.999999999999989,5.0,1000.0,26.390209773939834,6.955638398109405,7.895285213126866,0.15219724410814164,339960.5432646845,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
FEMCZM,Peak,v913_zeroD_sobol_0242980,300.0,1000.0,TARGET_RIGHT_CENSORED,197,1,0,1.0,7.561093592213589,34.56603291202448,34.56603291202448,34.56603291202448,2684.4563396461067,2684.4563396461067,5.076142131979691,3.056471886329113,1000.0,334.6123453665837,295.3706046889169,55.50740245374006,0.021650753583960514,352563.0211074851,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
FEMCZM,Peak,v913_zeroD_sobol_0242980,600.0,1000.0,TARGET_RIGHT_CENSORED,197,1,0,1.0,7.237808551265173,33.08811424469099,33.08811424469099,33.08811424469099,2459.8085110797074,2459.8085110797074,5.076142131979691,3.056471886329113,1000.0,334.2890603256353,236.31131329967258,49.627812826813404,0.02421578643594667,343602.13142143644,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
FEMCZM,Peak,v913_zeroD_sobol_0242980,900.0,1000.0,TARGET_RIGHT_CENSORED,197,1,0,1.0,12.51329060454744,57.20532481173592,57.20532481173592,57.20532481173592,7352.417810630804,7352.417810630804,5.076142131979691,3.056471886329113,1000.0,339.56454237891774,265.97781333479907,52.6633546332541,0.02281998571976357,293864.53414275404,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
FEMCZM,Peak,v913_zeroD_sobol_0242980,1100.0,1000.0,TARGET_RIGHT_CENSORED,197,1,0,1.0,11.754750351037744,53.73760852861617,53.73760852861617,53.73760852861617,6488.046250943721,6488.046250943721,5.076142131979691,3.056471886329113,1000.0,338.91101998578176,318.891672385598,57.682406738678964,0.020834387477877917,293864.53414275404,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
FEMCZM,Peak,v913_zeroD_sobol_0242980,1200.0,1000.0,TARGET_RIGHT_CENSORED,197,1,0,1.0,11.383699694710716,52.04132623264825,52.04132623264825,52.04132623264825,6084.907463456601,6084.907463456601,5.076142131979691,3.056471886329113,1000.0,338.55103365060455,346.9997635912596,60.17854756222479,0.019970203388611062,293864.53414275404,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2
