provider,material_class,candidate_id,temperature_K,target_um,status,event_count,physical_avalanche_count,precursor_reinitiation_count,largest_avalanche_fraction,first_event_opening_um,first_event_native_KJ_MPa_sqrt_m,onset_envelope_min_MPa_sqrt_m,onset_envelope_max_MPa_sqrt_m,qualified_G_onset_min_J_m2,qualified_G_onset_max_J_m2,mean_event_size_um,median_event_size_um,terminal_extension_um,terminal_opening_um,max_tip_radius_um,max_backstress_GPa,minimum_front_width_um,max_source_multiplicity,model_contract,loading_rate_factor,nominal_opening_rate_m_s,authoritative_PF_2D_initial_KJ_MPa_sqrt_m,PF_2D_initial_relative_error
PF,Peak,v913_zeroD_sobol_0242980,600.0,100.0,TARGET_RIGHT_CENSORED,20,1,0,1.0,12.152492663276204,24.158753215001784,24.158753215001784,24.158753215001784,,,4.999999999999999,5.0,99.99999999999999,12.37009356912452,1.2566263574584058,1.6389075514297975,0.7313178084719055,351744.67441309075,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,0.01,2.380952380952381e-10,,
PF,Peak,v913_zeroD_sobol_0242980,600.0,100.0,TARGET_RIGHT_CENSORED,20,1,0,1.0,11.402329107853271,22.667452894276874,22.667452894276874,22.667452894276874,,,4.999999999999999,5.0,99.99999999999999,12.84532204370489,1.0132477735508147,0.3723705047316934,3.071382221455179,347301.9061300702,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,1.0,2.3809523809523807e-08,,
PF,Peak,v913_zeroD_sobol_0242980,600.0,100.0,TARGET_RIGHT_CENSORED,20,1,0,1.0,11.826096974826239,23.5098893887736,23.5098893887736,23.5098893887736,,,4.999999999999999,5.0,99.99999999999999,13.414220220580598,1.000372602747336,0.06244919569137066,8.873478695651235,352495.61468751915,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,100.0,2.3809523809523808e-06,,
PF,Peak,v913_zeroD_sobol_0242980,1000.0,100.0,TARGET_RIGHT_CENSORED,20,1,0,1.0,26.225127736954782,52.1346859927406,52.1346859927406,52.1346859927406,,,4.999999999999999,5.0,99.99999999999999,26.225127741479024,6.915884328241523,7.8688904834726205,0.15270764312221424,351247.1339206516,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,0.01,2.380952380952381e-10,66.91620674152757,-0.22089597525876642
PF,Peak,v913_zeroD_sobol_0242980,1000.0,100.0,TARGET_RIGHT_CENSORED,20,1,0,1.0,28.247585981036934,56.155266046582355,56.155266046582355,56.155266046582355,,,4.999999999999999,5.0,99.99999999999999,28.24758643341846,7.4014557463803685,8.185458674330093,0.1468030499665737,350753.536944126,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,1.0,2.3809523809523807e-08,53.878171773544715,0.0422637628204701
PF,Peak,v913_zeroD_sobol_0242980,1000.0,100.0,TARGET_RIGHT_CENSORED,20,1,0,1.0,19.390940864701065,38.54854867533929,38.54854867533929,38.54854867533929,,,4.999999999999999,5.0,99.99999999999999,19.390986102795818,3.1859960680726283,4.783309808732424,0.25116524197121387,352112.1780108274,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,100.0,2.3809523809523808e-06,39.010782738306325,-0.011848879476933635
PF,Peak,v913_zeroD_sobol_0242980,1200.0,100.0,TARGET_RIGHT_CENSORED,20,1,0,1.0,24.505250958467844,48.71562787824866,48.71562787824866,48.71562787824866,,,4.999999999999999,5.0,99.99999999999999,24.505250962992083,6.502600249814696,7.589054297138356,0.15833715096632692,341016.59878535406,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,0.01,2.380952380952381e-10,,
PF,Peak,v913_zeroD_sobol_0242980,1200.0,100.0,TARGET_RIGHT_CENSORED,20,1,0,1.0,26.390205035838576,52.46285419951387,52.46285419951387,52.46285419951387,,,4.999999999999999,5.0,99.99999999999999,26.390205488220104,6.955638398109405,7.895285213126866,0.15219724410814164,338125.9976689665,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,1.0,2.3809523809523807e-08,,
PF,Peak,v913_zeroD_sobol_0242980,1200.0,100.0,TARGET_RIGHT_CENSORED,20,1,0,1.0,28.50906160378402,56.675070930791414,56.675070930791414,56.675070930791414,,,4.999999999999999,5.0,99.99999999999999,28.50910684187877,7.464158929245711,8.22544981375272,0.1460894632618172,334116.0715199834,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,100.0,2.3809523809523808e-06,,
FEMCZM,Peak,v913_zeroD_sobol_0242980,600.0,100.0,TARGET_RIGHT_CENSORED,19,1,0,1.0,5.946108883196023,27.183024895590908,27.183024895590908,27.183024895590908,1660.171034914943,1660.171034914943,5.263157894736841,4.143147460518555,99.99999999999999,6.339887429233477,1.0916206205538566,0.9792641643957475,1.2180878273041271,293864.53414275404,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,0.01,2.380952380952381e-10,,
FEMCZM,Peak,v913_zeroD_sobol_0242980,600.0,100.0,TARGET_RIGHT_CENSORED,19,1,0,1.0,7.237808551265173,33.08811424469099,33.08811424469099,33.08811424469099,2459.8085110797074,2459.8085110797074,5.263157894736841,4.143147460518555,99.99999999999999,44.27254206137524,4.153627289427194,5.7451028292995385,0.209132283517244,343602.13142143644,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,1.0,2.3809523809523807e-08,,
FEMCZM,Peak,v913_zeroD_sobol_0242980,600.0,100.0,RIGHT_CENSORED_NUMERICAL_BOUND,3,3,2,0.3333333333333333,143.97340845932908,658.1838347281408,658.1838347281408,1156.6568580301434,973311.1306950933,3005846.2605355033,2.882912871038394,2.4123168836609996,8.648738613115182,500.1252894886952,129.89049951173612,36.72933253383329,0.0327196370045283,352469.24609434896,SOURCE_NORMALIZED_DRIVE+V913_ZEROD_IMPLICIT_BACKSTRESS_V2,100.0,2.3809523809523808e-06,,
