material_class,candidate_id,temperature_K,transfer_data_role,pf_2D_seed,pf_2D_initial_native_KJ_MPa_sqrt_m,pf_2D_event_count,pf_2D_physical_avalanche_count,pf_2D_precursor_reinitiation_count,pf_2D_largest_avalanche_fraction,pf_2D_mean_event_size_um,pf_2D_max_backstress_GPa,pf_2D_max_mobile_count,pf_2D_max_retained_count,pf_2D_terminal_extension_um,pf_2D_target_right_censored,source_steps_file,source_steps_sha256,oneD_PF_status,oneD_PF_initial_native_KJ_MPa_sqrt_m,oneD_PF_onset_envelope_max_MPa_sqrt_m,oneD_PF_event_count,oneD_PF_physical_avalanche_count,oneD_PF_precursor_reinitiation_count,oneD_PF_largest_avalanche_fraction,oneD_PF_mean_event_size_um,oneD_PF_max_tip_radius_um,oneD_PF_max_backstress_GPa,initial_onset_relative_error,topology_match,new_PF_run_launched,new_FEMCZM_run_launched
Peak,v913_zeroD_sobol_0242980,300.0,EXISTING_AUTHORITATIVE_2D_PF,3621,23.650909281245745,24,1,0,1.0,4.998444739936818,9.238823804236005e-07,4.140093793773828e-10,7.843417254657292e-30,119.9626737584836,True,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_peak01_0242980_persistent_sites/T300K_th0_seed3621/steps_0300K.csv,7d5cf8a53b3f1c08025f33c79cc4ec5ee39bc90c4d2189cafb80422adc72adfa,TARGET_RIGHT_CENSORED,23.862725025576854,23.862725025576854,20,1,0,1.0,4.999999999999999,1.0000000127826667,0.00036577545671628023,0.008955923927164613,True,False,False
Peak,v913_zeroD_sobol_0242980,1000.0,EXISTING_AUTHORITATIVE_2D_PF,8666,53.878171773544715,26,1,0,1.0,4.436480246477733,8.016871061575872,31961.67033564463,3466.3041574339704,115.34848640842107,True,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_peak01_0242980_persistent_sites/T1000K_th0_seed8666/steps_1000K.csv,50153f1b93dee23407ec7971658fc8da917629c14e4ff3290b7a7a0c88449faa,TARGET_RIGHT_CENSORED,56.155266046582355,56.155266046582355,20,1,0,1.0,4.999999999999999,7.4014557463803685,8.185458674330093,0.0422637628204701,True,False,False
Peak,v913_zeroD_sobol_0242980,1200.0,EXISTING_AUTHORITATIVE_2D_PF,12702,49.08883842937369,24,1,0,1.0,4.950789656258976,7.695700480288981,23457.604573908873,10008.94599201238,118.81895175021543,True,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_peak01_0242980_persistent_sites/T1200K_th0_seed12702/steps_1200K.csv,95ba19655a31bcbd559b331a349ebd44e6ed495345b8d7f10d2379b39961b6ce,TARGET_RIGHT_CENSORED,52.46285419951387,52.46285419951387,20,1,0,1.0,4.999999999999999,6.955638398109405,7.895285213126866,0.06873285003462713,True,False,False
DBTT,v913_zeroD_sobol_0202500,300.0,EXISTING_AUTHORITATIVE_2D_PF,1003621,23.35655128646154,25,2,1,0.6,4.766621966286718,3.7988714657192805e-08,7.861254861914708e-13,2.2627669418493858e-13,119.16554915716794,True,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_dbtt01_0202500_persistent_sites/T300K_th0_seed1003621/steps_0300K.csv,491d1a09bf958c97b1813ad73d3ca8feb523d52ba9ef3231ae97a7e228713059,TARGET_RIGHT_CENSORED,23.646684130896446,23.646684130896446,20,1,0,1.0,4.999999999999999,1.000000013829021,0.00036440323042617284,0.012421904281865494,False,False,False
DBTT,v913_zeroD_sobol_0202500,1000.0,EXISTING_AUTHORITATIVE_2D_PF,1008666,56.18816031656195,26,2,1,0.5769230769230769,4.603721252028864,8.315316517942698,0.0003760591452505474,30703.22149731149,119.69675255275044,True,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_dbtt01_0202500_persistent_sites/T1000K_th0_seed1008666/steps_1000K.csv,233824c0e7728ab05f9cf5aedb495e476c8c42696ecc14258bac4f065c326a5e,TARGET_RIGHT_CENSORED,63.57061661746594,109.16109415083311,20,2,1,0.95,4.999999999999999,49.832452898682654,21.47574483907329,0.13138811200280473,True,False,False
DBTT,v913_zeroD_sobol_0202500,1200.0,EXISTING_AUTHORITATIVE_2D_PF,1012702,54.061671674125535,23,2,1,0.6521739130434783,4.907264730611334,8.043422331479363,1.0048779586522656e-08,29800.63855350376,112.86708880406067,True,/Volumes/Data/Data/Nanopillar_calculation/PF-fracture-fatigue_v10_2_21_persistent_sites_top1/runs/1_final_v10_2_30_theta0_rate_extremes_four_class_1000um_base3621_v1/rate1x/v913_paper_dbtt01_0202500_persistent_sites/T1200K_th0_seed1012702/steps_1200K.csv,b5337cd7621e08ab62f6f2bf070c007789321b59449c511514c8c1678df0aa01,TARGET_RIGHT_CENSORED,60.425109777532214,111.11076985779054,20,2,1,0.95,4.999999999999999,52.03991016401872,21.990112902296634,0.11770701693733021,True,False,False
weak-T,oneD_v2_focused_weak_T_0016,300.0,NEW_BOUNDED_2D_PF_FINALIST_TRANSFER,2008666,22.658988249516653,15,1,0,1.0,6.690907361376574,2.8075944491973646,1409.8862415273616,2957.9742251120733,100.3636104206486,True,/private/tmp/oneD-v2-terminal-pf-transfer-runs/weak-T/T300K_seed2008666/steps_0300K.csv,71f2ea762128b62e53dea9dcab267335d0d1bc08ba0281998e405a426ac6ecc2,TARGET_RIGHT_CENSORED,21.197350994801074,21.197350994801074,20,1,0,1.0,4.999999999999999,1.241411614413185,2.1060670885279267,-0.06450584812615182,True,True,False
weak-T,oneD_v2_focused_weak_T_0016,1000.0,NEW_BOUNDED_2D_PF_FINALIST_TRANSFER,2008666,23.777332344705204,15,1,0,1.0,6.690907361376574,5.556097988198178,6317.948574911156,13106.028153631254,100.3636104206486,True,/private/tmp/oneD-v2-terminal-pf-transfer-runs/weak-T/T1000K_seed2008666/steps_1000K.csv,6c6169f29266f3abdf960dc61c9e9f0794562119812d65d27cf56059d78b65a6,TARGET_RIGHT_CENSORED,26.530700973592523,26.530700973592523,20,1,0,1.0,4.999999999999999,2.9190348247276967,5.937922936295213,0.1157980461799133,True,True,False
weak-T,oneD_v2_focused_weak_T_0016,1200.0,NEW_BOUNDED_2D_PF_FINALIST_TRANSFER,2008666,21.953842457073424,15,1,0,1.0,6.690907361376574,5.441948180822657,5600.360025373969,11686.661249600258,100.3636104206486,True,/private/tmp/oneD-v2-terminal-pf-transfer-runs/weak-T/T1200K_seed2008666/steps_1200K.csv,241577b1463d7ac8dca18865fe1c9da3dbc276bb0782e32a216b626d96cbee94,TARGET_RIGHT_CENSORED,23.512191883608768,23.512191883608768,20,1,0,1.0,4.999999999999999,2.632664460984623,5.476985710937533,0.07098299213827376,True,True,False
ceramic-like,oneD_v2_focused_ceramic_like_0018,300.0,NEW_BOUNDED_2D_PF_FINALIST_TRANSFER,3008666,15.605614300747986,21,1,0,1.0,4.937025375317316,1.8872595793948025e-14,1.5184215937400058e-25,1.3947002411594144e-71,103.67753288166364,True,/private/tmp/oneD-v2-terminal-pf-transfer-runs/ceramic-like/T300K_seed3008666/steps_0300K.csv,ed23da9a613c4bd5037abbfdf2cef0b457f5c7d22479aa7f23ed761b81ec8ee7,TARGET_RIGHT_CENSORED,15.62500638175698,15.62500638175698,20,1,0,1.0,4.999999999999999,1.0000000007817664,0.00021798190714059917,0.0012426349027519826,True,True,False
