material_class,fracture_material_row_id,temperature_anchor,temperature_K,no_void_1d_status,no_void_2d_status,void_1d_status,void_2d_status,delta_observable_status,material_mapping_gate
Peak,v913_zeroD_sobol_0242980,low,300.0,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,UNAVAILABLE_NO_PAIRED_RUN,BLOCKED_UNMAPPED_ACTIVE_FIELD
Peak,v913_zeroD_sobol_0242980,feature,,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,UNAVAILABLE_NO_PAIRED_RUN,BLOCKED_UNMAPPED_ACTIVE_FIELD
Peak,v913_zeroD_sobol_0242980,high,1200.0,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,UNAVAILABLE_NO_PAIRED_RUN,BLOCKED_UNMAPPED_ACTIVE_FIELD
DBTT,v913_zeroD_sobol_0202500,low,300.0,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,UNAVAILABLE_NO_PAIRED_RUN,BLOCKED_UNMAPPED_ACTIVE_FIELD
DBTT,v913_zeroD_sobol_0202500,feature,,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,UNAVAILABLE_NO_PAIRED_RUN,BLOCKED_UNMAPPED_ACTIVE_FIELD
DBTT,v913_zeroD_sobol_0202500,high,1200.0,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,UNAVAILABLE_NO_PAIRED_RUN,BLOCKED_UNMAPPED_ACTIVE_FIELD
weak-T,oneD_v2_focused_weak_T_0016,low,300.0,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,UNAVAILABLE_NO_PAIRED_RUN,BLOCKED_UNMAPPED_ACTIVE_FIELD
weak-T,oneD_v2_focused_weak_T_0016,feature,,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,UNAVAILABLE_NO_PAIRED_RUN,BLOCKED_UNMAPPED_ACTIVE_FIELD
weak-T,oneD_v2_focused_weak_T_0016,high,1200.0,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,UNAVAILABLE_NO_PAIRED_RUN,BLOCKED_UNMAPPED_ACTIVE_FIELD
ceramic-like,oneD_v2_focused_ceramic_like_0018,low,300.0,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,UNAVAILABLE_NO_PAIRED_RUN,BLOCKED_UNMAPPED_ACTIVE_FIELD
ceramic-like,oneD_v2_focused_ceramic_like_0018,feature,,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,UNAVAILABLE_NO_PAIRED_RUN,BLOCKED_UNMAPPED_ACTIVE_FIELD
ceramic-like,oneD_v2_focused_ceramic_like_0018,high,1200.0,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,NOT_RUN_M2_GATE_BLOCKED,UNAVAILABLE_NO_PAIRED_RUN,BLOCKED_UNMAPPED_ACTIVE_FIELD
